preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,5591,1,0.000249,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,1
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,2526,1,0.000193,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,1
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,246,1,-0.002068,REAL_FOLLOW_BTC_6000,REAL_FOLLOW_BTC_6000,0
dio_mcm_episode_1b57ksv,nebenrolle,milieurolle,242,1,0.003073,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,210,1,-0.002777,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,142,1,5.3e-05,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,92,1,1e-06,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A,0
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,67,1,0.003601,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,63,1,2.1e-05,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,58,1,0.001354,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0hvxln3,breite_grundrolle,breite_grundrolle,52,1,0.002931,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,46,1,-0.00016,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,41,1,-0.000239,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_15z3zml,breite_grundrolle,breite_grundrolle,39,1,0.005617,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0b8eoy2,breite_grundrolle,breite_grundrolle,37,1,-0.003041,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0bib552,new,nebenrolle,28,6,0.722289,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_1rf1k15,new,nebenrolle,28,6,0.862399,FOLLOW_EQ10K_XRP_2024_5M,,0
dio_mcm_episode_14pd6eb,breite_grundrolle,breite_grundrolle,27,1,-0.00284,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_05upp98,breite_grundrolle,breite_grundrolle,24,1,0.002374,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
