preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,4468,1,-0.000634,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,0
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,1729,1,-0.001177,FOLLOW_EQ10K_PEPE_2024_5M,FOLLOW_EQ10K_PEPE_2024_5M,0
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,1453,1,0.000593,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,612,1,0.000125,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A,0
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,198,1,-0.004622,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0vig3jz,breite_grundrolle,breite_grundrolle,162,1,0.000113,REAL_TIME_2024_PAXG,REAL_TIME_2024_PAXG,0
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,95,1,-0.00335,FOLLOW_EQ10K_PEPE_B_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,1
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,90,1,-0.00421,FOLLOW_EQ10K_PEPE_B_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,1
dio_mcm_episode_1b57ksv,milieurolle,milieurolle,79,1,-0.001309,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_010cqn6,nebenrolle,nebenrolle,69,1,0.021689,FOLLOW_EQ10K_PEPE_B_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,1
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,61,1,0.000863,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
