token,short_token,base_class,compare_class,base_weight,compare_weight,base_duration,compare_duration,role_changed,migration,weight_delta,duration_delta,transition,condensation_stage
dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,brueckenkern,3,215,699.666667,71.018605,1,rolle_verdichtet,212,-628.648062,schwacher_anschluss_to_brueckenkern,direktsprung_schwach_zu_kern
dio_mcm_episode_0b7nep9,0b7nep9,starker_anschlussanker,brueckenkern,35,228,470.942857,85.149123,1,rolle_verdichtet,193,-385.793734,starker_anschlussanker_to_brueckenkern,kernverdichtung_stark_zu_kern
dio_mcm_episode_1jx2k4i,1jx2k4i,starker_anschlussanker,brueckenkern,33,115,133.181818,66.347826,1,rolle_verdichtet,82,-66.833992,starker_anschlussanker_to_brueckenkern,kernverdichtung_stark_zu_kern
dio_mcm_episode_1xx3u1e,1xx3u1e,lokaler_anschlussanker,brueckenkern,12,49,15.000000,125.081633,1,rolle_verdichtet,37,110.081633,lokaler_anschlussanker_to_brueckenkern,kernverdichtung_lokal_zu_kern
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,brueckenkern,22,26,59.454546,9.153846,1,rolle_verdichtet,4,-50.300700,lokaler_anschlussanker_to_brueckenkern,kernverdichtung_lokal_zu_kern
dio_mcm_episode_1jwnjz4,1jwnjz4,schwacher_anschluss,starker_anschlussanker,13,59,20.230769,94.762712,1,rolle_verdichtet,46,74.531943,schwacher_anschluss_to_starker_anschlussanker,sprung_schwach_zu_stark
dio_mcm_episode_1ahj81f,1ahj81f,schwacher_anschluss,starker_anschlussanker,1,30,32.000000,15.066667,1,rolle_verdichtet,29,-16.933333,schwacher_anschluss_to_starker_anschlussanker,sprung_schwach_zu_stark
dio_mcm_episode_1q3us3f,1q3us3f,lokaler_anschlussanker,starker_anschlussanker,26,39,57.269231,59.589744,1,rolle_verdichtet,13,2.320513,lokaler_anschlussanker_to_starker_anschlussanker,reifung_lokal_zu_stark
dio_mcm_episode_077r0df,077r0df,schwacher_anschluss,lokaler_anschlussanker,1,16,3.000000,10.000000,1,rolle_verdichtet,15,7.000000,schwacher_anschluss_to_lokaler_anschlussanker,vorreifung_schwach_zu_lokal
dio_mcm_episode_0geqqo3,0geqqo3,schwacher_anschluss,lokaler_anschlussanker,11,22,16.090909,45.227273,1,rolle_verdichtet,11,29.136364,schwacher_anschluss_to_lokaler_anschlussanker,vorreifung_schwach_zu_lokal
dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,lokaler_anschlussanker,9,18,123.333333,50.500000,1,rolle_verdichtet,9,-72.833333,schwacher_anschluss_to_lokaler_anschlussanker,vorreifung_schwach_zu_lokal
dio_mcm_episode_1al8fjz,1al8fjz,schwacher_anschluss,lokaler_anschlussanker,6,14,1.666667,1.571429,1,rolle_verdichtet,8,-0.095238,schwacher_anschluss_to_lokaler_anschlussanker,vorreifung_schwach_zu_lokal
