token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0e7qvj1,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,7519,5462,-2057,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_1hdpu9s,-0.008256,0.004681,0.00572,0.017442,-0.001583,-0.005439
dio_mcm_episode_1q3us3f,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,1093,228,-865,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_1hdpu9s,-0.005251,0.006248,-0.007139,0.019818,0.008835,0.042427
dio_mcm_episode_1hs3jsa,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,612,19,-593,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1q3us3f,dio_mcm_episode_1q3us3f,-0.004172,0.001247,0.006344,0.020515,0.006457,0.000327
dio_mcm_episode_1t42af6,stabile_bedeutungsinsel,driftzone,oeffnung_oder_drift,437,2,-435,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1joiyc3,-0.038325,0.037993,-0.015103,0.132838,0.197212,0.026989
dio_mcm_episode_1hdpu9s,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,390,524,134,1,4,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.007253,0.003621,0.001341,0.028355,0.021943,0.007493
dio_mcm_episode_0z748ck,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,9,44,35,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.013714,0.004623,-0.002716,-0.004627,-0.043817,0.017258
dio_mcm_episode_0qzjuvj,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,11,40,29,2,4,2,offene_variante,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0z748ck,0.02088,-0.023541,0.052191,0.000658,-0.033232,-0.075953
dio_mcm_episode_17i4j9o,stabile_bedeutungsinsel,offene_bedeutungszone,oeffnung_oder_drift,30,2,-28,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,0.010306,-0.018982,0.015377,-0.081514,-0.195746,-0.02789
dio_mcm_episode_0lfde2c,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,16,15,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1gwv1sr,dio_mcm_episode_1rxdw4p,-0.019292,0.0142,-0.005395,0.02623,-0.008757,-0.040761
dio_mcm_episode_0lne9ax,driftzone,rekopplungszone,reifung_oder_verdichtung,3,18,15,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0jbl5pq,-0.025561,0.026408,-0.02326,0.038345,0.052688,0.058649
dio_mcm_episode_18n06fj,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,18,5,-13,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0mji3u6,dio_mcm_episode_0z748ck,0.008481,-0.006367,0.031223,0.014325,0.003247,-0.106671
dio_mcm_episode_0krixak,stabile_bedeutungsinsel,junge_spur,verjuengung_oberflaeche,8,1,-7,4,1,-3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0w4721p,dio_mcm_episode_023wqvt,-0.02042,0.025534,-0.002593,0.039487,0.061498,0.067699
dio_mcm_episode_0om13wf,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,8,2,-6,2,2,0,offene_variante,zentrum_stabil,dio_mcm_episode_0ultars,dio_mcm_episode_0y1i8dq,0.032968,-0.033143,0.08938,0.035925,0.051802,-0.169707
dio_mcm_episode_0y1i8dq,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,7,6,1,3,2,offene_variante,zentrum_stabil,dio_mcm_episode_0om13wf,dio_mcm_episode_0ultars,-0.031412,-0.010882,0.029212,-0.008444,-0.066205,-0.005285
dio_mcm_episode_0aztxel,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,8,11,3,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0hjnwsk,dio_mcm_episode_0jbl5pq,-0.025542,0.030194,-0.026856,0.051925,0.073023,0.013793
dio_mcm_episode_0dsrwv5,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,4,3,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_102i30n,dio_mcm_episode_0aj06nw,-0.011022,0.016703,-0.021859,0.026605,0.019668,0.073933
dio_mcm_episode_0393v08,offene_bedeutungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,2,4,2,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0dsrwv5,dio_mcm_episode_06ccuqv,-0.005862,0.014232,0.003138,0.057567,0.100435,-0.042793
dio_mcm_episode_0ifxej6,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,3,2,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0r1o8ja,dio_mcm_episode_19g1diz,-0.004365,0.007642,-0.006301,0.025114,-0.026338,0.10241
dio_mcm_episode_1i31hl0,offene_bedeutungszone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,2,4,2,1,2,1,offene_variante,offene_variante,dio_mcm_episode_0om13wf,dio_mcm_episode_00yl137,0.009114,0.004038,0.024884,0.008223,-0.017889,-0.007503
dio_mcm_episode_00i7zy5,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,2,1,zentrum_stabil,offene_variante,dio_mcm_episode_0393v08,dio_mcm_episode_0393v08,-0.009104,0.006461,-0.032109,-0.013985,-0.069292,0.242342
dio_mcm_episode_06ccuqv,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1al8fjz,dio_mcm_episode_08fjvls,0.030007,-0.037536,0.027939,-0.036502,-0.10916,0.107301
