token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0ko7wqc,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1789,4,-1785,2,1,-1,zentrum_stabil,zentrum_stabil,-0.024598,-0.00505,-0.04951,-0.061526
dio_mcm_episode_1jx2k4i,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,338,67,-271,2,3,1,zentrum_stabil,zentrum_stabil,-0.009045,0.007863,-0.019165,-0.009047
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,565,358,-207,4,2,-2,zentrum_stabil,zentrum_stabil,-0.002346,0.005061,-0.004219,0.010864
dio_mcm_episode_0db07p4,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,37,98,61,1,2,1,zentrum_stabil,zentrum_stabil,-0.00294,0.008214,0.01614,0.010038
dio_mcm_episode_1q3us3f,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,1093,228,-865,3,3,0,zentrum_stabil,zentrum_stabil,-0.005251,0.006248,0.008835,0.042427
dio_mcm_episode_1hdpu9s,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,390,524,134,1,4,3,zentrum_stabil,zentrum_stabil,-0.007253,0.003621,0.021943,0.007493
dio_mcm_episode_0z748ck,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,9,44,35,2,4,2,zentrum_stabil,zentrum_stabil,-0.013714,0.004623,-0.043817,0.017258
dio_mcm_episode_0lfde2c,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,stabile_bedeutungsinsel,1,16,15,1,1,0,zentrum_stabil,zentrum_stabil,-0.019292,0.0142,-0.008757,-0.040761
dio_mcm_episode_0lne9ax,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,driftzone,rekopplungszone,3,18,15,2,4,2,zentrum_stabil,zentrum_stabil,-0.025561,0.026408,0.052688,0.058649
dio_mcm_episode_18n06fj,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,18,5,-13,2,3,1,zentrum_stabil,zentrum_stabil,0.008481,-0.006367,0.003247,-0.106671
