token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_1t42af6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,437,16,-421,2,3,1,zentrum_stabil,zentrum_stabil,-0.01707,0.014291,0.076453,0.010198
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,565,262,-303,4,5,1,zentrum_stabil,zentrum_stabil,-0.006327,0.005147,-0.002451,0.014482
dio_mcm_episode_1jx2k4i,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,338,181,-157,2,4,2,zentrum_stabil,zentrum_stabil,-0.009538,0.007462,-0.006021,0.01521
dio_mcm_episode_0db07p4,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,37,18,-19,1,1,0,zentrum_stabil,zentrum_stabil,-0.004224,0.007152,-0.011642,0.018116
dio_mcm_episode_17i4j9o,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,30,17,-13,2,2,0,zentrum_stabil,zentrum_stabil,-0.002229,0.00831,0.008898,-0.011457
dio_mcm_episode_0d40zcv,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,9,16,7,1,3,2,zentrum_stabil,zentrum_stabil,-0.006668,0.008063,0.003666,-0.058885
dio_mcm_episode_1hdpu9s,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,390,2928,2538,1,5,4,zentrum_stabil,zentrum_stabil,-0.00279,0.003347,0.033245,0.005553
dio_mcm_episode_1jwnjz4,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,471,2885,2414,2,5,3,zentrum_stabil,zentrum_stabil,0.002208,0.004022,0.015271,-0.00556
dio_mcm_episode_1q3us3f,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,1093,73,-1020,3,3,0,zentrum_stabil,zentrum_stabil,-0.009106,0.010346,0.015868,0.08107
dio_mcm_episode_0lfde2c,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,rekopplungszone,1,717,716,1,5,4,zentrum_stabil,zentrum_stabil,-0.003123,0.000547,-0.070537,-0.015102
dio_mcm_episode_0z748ck,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,9,102,93,2,5,3,zentrum_stabil,zentrum_stabil,-0.010714,0.007216,-0.025078,0.021379
dio_mcm_episode_0w4x7xs,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,48,77,29,1,1,0,zentrum_stabil,zentrum_stabil,-0.002662,0.005669,0.002948,0.019028
dio_mcm_episode_17c7qwp,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,32,6,-26,1,1,0,zentrum_stabil,zentrum_stabil,0.011272,-0.00953,-0.061944,-0.023784
dio_mcm_episode_03hr8bf,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,stabile_bedeutungsinsel,1,18,17,1,3,2,offene_variante,zentrum_stabil,0.069356,-0.072134,-0.119489,-0.203459
dio_mcm_episode_1aavr7r,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,rekopplungszone,1,16,15,1,4,3,zentrum_stabil,zentrum_stabil,-0.029451,0.026464,0.134442,0.052938
dio_mcm_episode_0393v08,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,offene_bedeutungszone,stabile_bedeutungsinsel,2,11,9,1,4,3,zentrum_stabil,zentrum_stabil,-0.014475,0.026462,0.160079,-0.04498
dio_mcm_episode_1yy9dcm,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,4,11,7,2,4,2,zentrum_stabil,zentrum_stabil,-0.026894,0.020755,0.124653,0.041236
dio_mcm_episode_1y2gc2i,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,4,10,6,2,4,2,zentrum_stabil,zentrum_stabil,-0.007192,0.013867,0.005816,0.021944
dio_mcm_episode_0k1pid9,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,3,8,5,2,1,-1,zentrum_stabil,zentrum_stabil,-0.043386,0.020317,0.131251,0.070478
dio_mcm_episode_0qhs6nb,rekoppelnder_pfad,Rekopplung steigt und Strain faellt oder bleibt niedrig.,stabil,driftzone,driftzone,2,7,5,2,3,1,offene_variante,offene_variante,0.02099,-0.019357,0.098344,-0.173261
dio_mcm_episode_1ytjvg8,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,2,6,4,1,1,0,zentrum_stabil,zentrum_stabil,-0.007123,0.010715,0.013651,0.07602
dio_mcm_episode_0cvptbz,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,offene_bedeutungszone,rekopplungszone,3,6,3,1,2,1,zentrum_stabil,zentrum_stabil,0.007288,0.005502,0.120957,-0.056996
dio_mcm_episode_1f4jh6c,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,driftzone,rekopplungszone,3,6,3,1,2,1,zentrum_stabil,zentrum_stabil,0.016309,0.008762,0.038606,-0.08736
dio_mcm_episode_0i8oyce,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,driftzone,rekopplungszone,3,5,2,1,2,1,offene_variante,zentrum_stabil,0.004473,0.004947,0.071763,0.009343
dio_mcm_episode_0mb95f2,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,rekopplungszone,1,3,2,1,1,0,zentrum_stabil,zentrum_stabil,0.052817,-0.038753,-0.326136,-0.080886
dio_mcm_episode_1ugblu1,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,17,19,2,1,2,1,zentrum_stabil,zentrum_stabil,0.003471,-0.004646,-0.007637,-0.029382
dio_mcm_episode_0tv1tha,rekoppelnder_pfad,Rekopplung steigt und Strain faellt oder bleibt niedrig.,stabil,driftzone,driftzone,3,4,1,1,2,1,offene_variante,zentrum_stabil,0.024866,-0.02217,0.02237,-0.168187
dio_mcm_episode_1fx4022,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,junge_spur,rekopplungszone,1,2,1,1,1,0,zentrum_stabil,zentrum_stabil,0.019873,-0.017751,-0.154314,-0.157836
dio_mcm_episode_1yzsm16,rekoppelnder_pfad,Rekopplung steigt und Strain faellt oder bleibt niedrig.,stabil,offene_bedeutungszone,offene_bedeutungszone,2,3,1,2,2,0,zentrum_stabil,zentrum_stabil,0.005455,-0.005079,-0.025095,0.005828
dio_mcm_episode_068ops8,rekoppelnder_pfad,Rekopplung steigt und Strain faellt oder bleibt niedrig.,stabil,offene_bedeutungszone,offene_bedeutungszone,3,3,0,1,1,0,zentrum_stabil,zentrum_stabil,0.006295,-0.007823,-0.071425,0.003527
dio_mcm_episode_17wwyn1,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,3,3,0,1,1,0,zentrum_stabil,zentrum_stabil,-0.027233,0.032175,0.168713,0.129578
dio_mcm_episode_1dewalh,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,4,4,0,2,1,-1,zentrum_stabil,zentrum_stabil,-0.039146,0.013399,0.094453,0.153557
dio_mcm_episode_1joiyc3,offener_driftpfad,Clusterbindung oeffnet sich mit sinkender Rekopplung oder steigender Unschaerfe.,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,4629,1170,-3459,3,3,0,zentrum_stabil,zentrum_stabil,-0.01275,0.008061,-0.005433,0.013927
dio_mcm_episode_0dgle71,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,stabile_bedeutungsinsel,offene_bedeutungszone,115,5,-110,1,1,0,zentrum_stabil,zentrum_stabil,-0.009196,-0.015825,-0.062932,-0.060224
dio_mcm_episode_0lne9ax,offener_driftpfad,Clusterbindung oeffnet sich mit sinkender Rekopplung oder steigender Unschaerfe.,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,3,59,56,2,5,3,zentrum_stabil,zentrum_stabil,-0.017225,0.036083,0.107702,0.041511
dio_mcm_episode_0aztxel,offener_driftpfad,Clusterbindung oeffnet sich mit sinkender Rekopplung oder steigender Unschaerfe.,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,8,50,42,2,5,3,zentrum_stabil,zentrum_stabil,-0.014718,0.019138,-0.002685,0.062105
dio_mcm_episode_0q7j4gf,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,junge_spur,driftzone,1,10,9,1,4,3,zentrum_stabil,offene_variante,-0.018879,0.026187,-0.129111,0.020407
dio_mcm_episode_0y1i8dq,offener_driftpfad,Clusterbindung oeffnet sich mit sinkender Rekopplung oder steigender Unschaerfe.,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,1,10,9,1,3,2,offene_variante,offene_variante,-0.052286,0.019234,-0.005022,0.087045
dio_mcm_episode_0krixak,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,stabile_bedeutungsinsel,offene_bedeutungszone,8,2,-6,4,2,-2,zentrum_stabil,zentrum_stabil,-0.021659,0.022678,0.039225,0.03009
dio_mcm_episode_0ldenly,offener_driftpfad,Clusterbindung oeffnet sich mit sinkender Rekopplung oder steigender Unschaerfe.,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,1,7,6,1,2,1,zentrum_stabil,offene_variante,-0.037855,0.037658,0.106975,0.163968
dio_mcm_episode_0o36jeo,offener_driftpfad,Rekopplung faellt bei steigender Last oder Sinnesunschärfe.,stabil,offene_bedeutungszone,offene_bedeutungszone,2,7,5,1,2,1,offene_variante,offene_variante,-0.025082,0.010569,-0.005296,0.019529
dio_mcm_episode_0r1o8ja,offener_driftpfad,Rekopplung faellt bei steigender Last oder Sinnesunschärfe.,stabil,driftzone,driftzone,2,7,5,2,2,0,offene_variante,offene_variante,-0.011917,0.018544,0.105192,-0.019134
dio_mcm_episode_1i31hl0,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,offene_bedeutungszone,driftzone,2,7,5,1,3,2,offene_variante,offene_variante,-0.017739,0.023504,-0.030348,0.073584
dio_mcm_episode_1mesbjy,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,junge_spur,driftzone,1,6,5,1,3,2,offene_variante,offene_variante,-0.048818,0.049166,0.024342,-0.009902
dio_mcm_episode_0jlkrep,offener_driftpfad,Token oeffnet oder driftet zwischen den Weltgruppen.,oeffnung_oder_drift,junge_spur,driftzone,1,5,4,1,2,1,zentrum_stabil,zentrum_stabil,-0.017176,0.045014,0.036269,0.009213
