token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_1joiyc3,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,424,217,-207,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0db07p4,dio_mcm_episode_0l5wut9,0.006303,-0.004338,0.003777,-0.001378,-0.001988,-0.011667
dio_mcm_episode_0lfde2c,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,16,129,113,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1rxdw4p,dio_mcm_episode_1rxdw4p,0.017163,-0.012012,0.00724,-0.043193,-0.075891,0.032157
dio_mcm_episode_18n06fj,rekopplungszone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,5,78,73,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0mji3u6,-0.007995,0.006764,-0.017816,-0.007607,-0.019565,0.062296
dio_mcm_episode_0jbl5pq,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,28,86,58,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0qzjuvj,dio_mcm_episode_0qzjuvj,0.011534,-0.007866,0.005533,0.003483,0.009377,-0.015877
dio_mcm_episode_0om13wf,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,2,19,17,2,4,2,zentrum_stabil,offene_variante,dio_mcm_episode_0y1i8dq,dio_mcm_episode_0y1i8dq,-0.008338,0.010475,-0.044608,-0.017733,-0.061986,0.103787
dio_mcm_episode_17i4j9o,offene_bedeutungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,2,18,16,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,-0.010102,0.02331,-0.014885,0.098641,0.194524,-0.017144
dio_mcm_episode_1u741ze,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,5,20,15,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1rylps5,dio_mcm_episode_1rylps5,-0.002257,-0.000856,0.008699,0.000587,0.000694,-0.116005
dio_mcm_episode_0ne8zu9,offene_bedeutungszone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,2,13,11,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_07llqq8,dio_mcm_episode_0aztxel,-0.014783,0.00286,0.006466,-0.003714,-0.010991,0.08336
dio_mcm_episode_0mlk2ts,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,9,8,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0lne9ax,dio_mcm_episode_0lne9ax,-0.016187,0.030405,-0.050226,0.018902,0.024194,0.066144
dio_mcm_episode_0tf9fq3,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,9,8,1,3,2,zentrum_stabil,offene_variante,dio_mcm_episode_0clehbn,dio_mcm_episode_0l3i7ey,-0.021199,0.000462,-0.032685,-0.014029,-0.059277,0.153819
dio_mcm_episode_0r99tas,rekopplungszone,junge_spur,verjuengung_oberflaeche,7,1,-6,3,1,-2,zentrum_stabil,offene_variante,dio_mcm_episode_1yefj2f,dio_mcm_episode_0w5lgn3,-0.032661,0.023108,-0.044902,0.03903,0.061269,0.120621
dio_mcm_episode_01yulb6,offene_bedeutungszone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,2,7,5,1,2,1,offene_variante,offene_variante,dio_mcm_episode_1rkfb77,dio_mcm_episode_03hr8bf,0.056734,-0.059411,0.062888,-0.0585,-0.107086,-0.196902
dio_mcm_episode_0kazrmx,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,6,5,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0mji3u6,dio_mcm_episode_0mji3u6,-0.007017,0.02531,-0.011267,0.059417,0.114561,-0.003681
dio_mcm_episode_0v93uai,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,6,1,-5,3,1,-2,zentrum_stabil,offene_variante,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0lne9ax,0.038267,0.011255,-0.029926,0.021581,0.029341,0.094774
dio_mcm_episode_1mesbjy,junge_spur,driftzone,oeffnung_oder_drift,1,6,5,1,3,2,offene_variante,offene_variante,dio_mcm_episode_1m4u7k0,dio_mcm_episode_1i31hl0,-0.012102,0.008877,-0.019767,0.001822,-0.032272,0.21375
dio_mcm_episode_07llqq8,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,7,3,-4,2,2,0,zentrum_stabil,offene_variante,dio_mcm_episode_01yulb6,dio_mcm_episode_00dz86x,-0.03739,0.030291,-0.081526,-0.018433,-0.088339,0.323773
dio_mcm_episode_0l5wut9,junge_spur,randnahe_verdichtung,randnaehe_entsteht,1,5,4,1,3,2,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0r1o8ja,dio_mcm_episode_0qhs6nb,0.001131,-0.000578,0.003729,0.006689,0.004228,-0.032697
dio_mcm_episode_0mvjoir,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,2,6,4,1,4,3,offene_variante,offene_variante,dio_mcm_episode_0l3i7ey,dio_mcm_episode_0lne9ax,0.003435,0.00672,-0.021548,0.010061,0.020717,-0.008621
dio_mcm_episode_0q7skyc,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,5,9,4,3,3,0,offene_variante,offene_variante,dio_mcm_episode_0rbnu89,dio_mcm_episode_0y1i8dq,0.011875,-0.015456,0.019666,-0.027449,-0.058288,-0.023805
dio_mcm_episode_0qhs6nb,junge_spur,driftzone,oeffnung_oder_drift,1,5,4,1,4,3,zentrum_stabil,offene_variante,dio_mcm_episode_0lne9ax,dio_mcm_episode_0om13wf,-0.014766,0.006791,-0.034159,-0.127018,-0.235751,0.062574
dio_mcm_episode_0sv0ru8,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,5,4,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0v93uai,dio_mcm_episode_02pdioz,0.054672,-0.026213,-0.005895,-0.048518,-0.085902,-0.198413
dio_mcm_episode_1teq7yv,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,5,4,1,3,2,offene_variante,offene_variante,dio_mcm_episode_1tym9uu,dio_mcm_episode_1tym9uu,0.012472,-0.015303,0.040699,0.023639,0.051182,0.003604
dio_mcm_episode_0mvt50o,junge_spur,driftzone,oeffnung_oder_drift,1,4,3,1,4,3,offene_variante,offene_variante,dio_mcm_episode_0mlk2ts,dio_mcm_episode_0n5sqpn,0.002804,0.001444,0.00214,0.004964,0.012006,-0.039447
dio_mcm_episode_1vfs1bz,junge_spur,randnahe_verdichtung,randnaehe_entsteht,1,4,3,1,2,1,offene_variante,offene_variante,dio_mcm_episode_0r1o8ja,dio_mcm_episode_0r1o8ja,-0.008796,0.008212,-0.033391,-0.020231,-0.080658,0.236717
dio_mcm_episode_00yl137,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,2,1,offene_variante,zentrum_stabil,dio_mcm_episode_0ultars,dio_mcm_episode_0tv1tha,-0.036857,0.025818,0.003607,0.102305,0.186428,-0.023474
dio_mcm_episode_080f74u,rekopplungszone,junge_spur,verjuengung_oberflaeche,3,1,-2,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1bcj8qx,dio_mcm_episode_0gc6ffz,-0.017164,0.036111,-0.066935,0.085842,0.15719,0.058664
dio_mcm_episode_0f1kb3e,junge_spur,randnahe_verdichtung,randnaehe_entsteht,1,3,2,1,3,2,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0ifxej6,dio_mcm_episode_0mvt50o,0.001741,-0.003764,0.001258,-0.014564,-0.00909,-0.034532
dio_mcm_episode_0k1pid9,rekopplungszone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,5,3,-2,3,2,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0r99tas,dio_mcm_episode_1yy9dcm,3.3e-05,-0.007101,0.003621,-0.000591,0.002646,-0.081405
dio_mcm_episode_0ppr02l,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,3,1,-2,2,1,-1,zentrum_stabil,offene_variante,dio_mcm_episode_0y1i8dq,dio_mcm_episode_0v93uai,-0.048629,0.067559,-0.115079,0.056378,0.106485,0.125074
dio_mcm_episode_180stw7,driftzone,junge_spur,verjuengung_oberflaeche,3,1,-2,3,1,-2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17qt878,dio_mcm_episode_0lne9ax,-0.006489,-0.002654,0.040476,-0.043458,-0.08894,-0.009144
dio_mcm_episode_19g1diz,driftzone,junge_spur,verjuengung_oberflaeche,3,1,-2,3,1,-2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0v93uai,dio_mcm_episode_0y1i8dq,0.008271,-0.011441,0.023557,-0.000437,-0.003894,-0.034659
dio_mcm_episode_1al8fjz,offene_bedeutungszone,driftzone,oeffnung_oder_drift,3,5,2,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1y2gc2i,dio_mcm_episode_1k0rrn2,-0.018838,0.027766,-0.031584,0.070634,0.112765,0.049167
dio_mcm_episode_1ovglru,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,3,2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1kvosdw,dio_mcm_episode_0t1ymth,-0.054507,0.065449,-0.044399,0.062506,0.1197,0.098906
dio_mcm_episode_1y26981,offene_bedeutungszone,junge_spur,verjuengung_oberflaeche,3,1,-2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17i4j9o,dio_mcm_episode_17i4j9o,-0.04023,0.058849,-0.056948,0.173366,0.304377,0.227597
dio_mcm_episode_0aj06nw,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,1,0,offene_variante,zentrum_stabil,dio_mcm_episode_1k0rrn2,dio_mcm_episode_12jqmxn,0.02678,-0.034322,0.068068,-0.016446,-0.046741,-0.028642
dio_mcm_episode_0krixak,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_023wqvt,dio_mcm_episode_0w4721p,-0.015136,0.012262,-0.046502,-0.012784,-0.037367,0.074884
dio_mcm_episode_0pfredm,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,1,0,zentrum_stabil,offene_variante,dio_mcm_episode_0ppr02l,dio_mcm_episode_0y1i8dq,-0.032731,0.041996,-0.068472,0.073535,0.122272,-0.03673
dio_mcm_episode_0q7j4gf,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,2,1,-1,2,1,-1,offene_variante,zentrum_stabil,dio_mcm_episode_0n5sqpn,dio_mcm_episode_19g1diz,-0.001967,0.006181,0.007952,0.028004,0.057533,-0.145281
dio_mcm_episode_0r698in,junge_spur,randnahe_verdichtung,randnaehe_entsteht,1,2,1,1,2,1,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_1morx8x,dio_mcm_episode_1ve60mw,-0.001226,0.000224,-0.001176,0.006251,-0.00123,0.181757
dio_mcm_episode_0rbnu89,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,3,4,1,3,3,0,offene_variante,offene_variante,dio_mcm_episode_1iq1hgz,dio_mcm_episode_0y1i8dq,0.00569,-0.002131,-0.012712,0.011837,0.015539,0.089592
dio_mcm_episode_0ssvqb2,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_00i7zy5,dio_mcm_episode_0krixak,0.005169,-0.008538,0.005558,-0.030149,-0.055103,0.007295
dio_mcm_episode_0w5lgn3,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,2,1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1kmglj0,dio_mcm_episode_1dewalh,0.016949,0.023223,-0.007621,0.035752,0.087812,-0.005652
dio_mcm_episode_0zbhkta,junge_spur,randnahe_verdichtung,randnaehe_entsteht,1,2,1,1,1,0,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0q7j4gf,dio_mcm_episode_06ciaj1,-0.001474,-0.000712,0.003702,-0.004188,0.012842,-0.075534
dio_mcm_episode_17qt878,rekopplungszone,junge_spur,verjuengung_oberflaeche,2,1,-1,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0k1pid9,dio_mcm_episode_0sv0ru8,-0.017062,0.005049,0.021486,0.01252,0.018194,-0.005876
dio_mcm_episode_1m4u7k0,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,2,1,1,1,0,offene_variante,offene_variante,dio_mcm_episode_0om13wf,dio_mcm_episode_1n3qh54,0.039891,-0.024833,0.080059,0.004631,0.039115,-0.190546
dio_mcm_episode_1n1dhu9,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,2,1,offene_variante,offene_variante,dio_mcm_episode_1i31hl0,dio_mcm_episode_0om13wf,-0.002651,0.006161,0.004809,0.032386,0.071717,-0.010104
dio_mcm_episode_1ppvnd6,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,2,1,offene_variante,zentrum_stabil,dio_mcm_episode_0hjnwsk,dio_mcm_episode_0u4438h,0.01763,-0.025894,0.043722,-0.033658,-0.052402,-0.174735
dio_mcm_episode_1uqjjv3,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,2,1,offene_variante,offene_variante,dio_mcm_episode_0rbnu89,dio_mcm_episode_1s5ilya,0.02838,-0.047418,0.027906,-0.119661,-0.236287,-0.097232
dio_mcm_episode_1wphx8j,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,2,1,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0r99tas,dio_mcm_episode_0r99tas,-0.000746,0.018341,-0.009892,0.06169,0.123831,0.020939
dio_mcm_episode_1y1mvob,offene_bedeutungszone,junge_spur,verjuengung_oberflaeche,2,1,-1,1,1,0,offene_variante,zentrum_stabil,dio_mcm_episode_07llqq8,dio_mcm_episode_18n06fj,0.106918,-0.092198,0.105556,-0.119789,-0.222764,-0.186867
dio_mcm_episode_1yzsm16,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0cokzhj,dio_mcm_episode_06ccuqv,-0.017652,0.027558,-0.03133,0.06053,0.113969,-0.004778
dio_mcm_episode_0clehbn,offene_bedeutungszone,driftzone,oeffnung_oder_drift,2,2,0,1,1,0,offene_variante,zentrum_stabil,dio_mcm_episode_0aztxel,dio_mcm_episode_0aztxel,0.039078,-0.057682,0.070136,-0.117104,-0.217936,-0.053938
dio_mcm_episode_1bcj8qx,driftzone,rekopplungszone,reifung_oder_verdichtung,2,2,0,2,1,-1,offene_variante,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0z748ck,0.044457,-0.062319,0.064816,-0.059297,-0.11056,-0.008419
dio_mcm_episode_1xp8o2t,driftzone,offene_bedeutungszone,oeffnung_oder_drift,2,2,0,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ehj34s,dio_mcm_episode_0hjnwsk,0.056763,-0.055199,0.084755,-0.049295,-0.059847,-0.251713
dio_mcm_episode_1y2gc2i,stabile_bedeutungsinsel,offene_bedeutungszone,oeffnung_oder_drift,4,4,0,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ffzhaj,dio_mcm_episode_1x5cw2v,0.008096,-0.011869,-0.003107,-0.020904,-0.031283,0.073472
dio_mcm_episode_0e7qvj1,rekopplungszone,rekopplungszone,stabil,5462,21034,15572,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1hdpu9s,dio_mcm_episode_1hdpu9s,0.008873,-0.002159,0.001033,-0.001416,-0.002125,-0.005996
dio_mcm_episode_1hdpu9s,rekopplungszone,rekopplungszone,stabil,524,4345,3821,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.008496,-0.001213,0.000348,0.00137,0.004068,-0.003938
dio_mcm_episode_1rxdw4p,rekopplungszone,rekopplungszone,stabil,215,2666,2451,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1hdpu9s,dio_mcm_episode_1hdpu9s,0.010834,-0.003177,-0.000966,-0.01173,-0.021365,0.006657
dio_mcm_episode_0mji3u6,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,123,1670,1547,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.012201,-0.003883,0.001021,-0.002285,-0.004821,-0.005039
dio_mcm_episode_1q3us3f,rekopplungszone,rekopplungszone,stabil,228,841,613,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1hdpu9s,dio_mcm_episode_1hdpu9s,-0.001696,0.001952,-0.006887,0.000358,-0.001549,0.008858
dio_mcm_episode_1hs3jsa,rekopplungszone,rekopplungszone,stabil,19,276,257,1,4,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1q3us3f,dio_mcm_episode_1rxdw4p,0.001442,0.000208,0.002355,-0.010697,-0.021798,-0.006917
dio_mcm_episode_1ahj81f,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,358,240,-118,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1jx2k4i,dio_mcm_episode_1jx2k4i,-0.00552,-0.001136,0.002099,-0.003381,-0.00736,-0.011113
dio_mcm_episode_0hjnwsk,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,8,76,68,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0qzjuvj,dio_mcm_episode_18n06fj,-0.010025,0.021037,-0.022986,0.03494,0.059089,0.069642
dio_mcm_episode_0qzjuvj,rekopplungszone,rekopplungszone,stabil,40,94,54,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0z748ck,0.001038,0.00243,-0.006416,-0.000282,-0.002119,0.020378
dio_mcm_episode_0aztxel,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,11,64,53,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0hjnwsk,0.008806,-0.005089,-0.002074,-0.018109,-0.042786,0.050714
dio_mcm_episode_0z748ck,rekopplungszone,rekopplungszone,stabil,44,93,49,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.007034,0.000184,-0.000398,0.009079,0.017345,-0.013097
dio_mcm_episode_1jx2k4i,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,67,113,46,3,2,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,-0.00585,0.005239,-0.007884,0.012695,0.022107,0.020556
dio_mcm_episode_0lne9ax,rekopplungszone,rekopplungszone,stabil,18,59,41,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0jbl5pq,0.006602,0.008709,-0.002761,0.021231,0.052231,-0.031077
dio_mcm_episode_0l3i7ey,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,8,48,40,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0aztxel,dio_mcm_episode_0aztxel,-0.000899,0.005393,-0.006018,0.022574,0.039948,0.032674
dio_mcm_episode_0db07p4,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,98,64,-34,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1joiyc3,dio_mcm_episode_1joiyc3,0.00081,-0.003791,-0.000379,-0.02037,-0.041328,0.031962
dio_mcm_episode_1rylps5,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,10,37,27,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1u741ze,dio_mcm_episode_0mji3u6,0.008502,-0.01504,0.009289,-0.029519,-0.061894,-0.000913
dio_mcm_episode_0dbqs19,randnahe_verdichtung,randnahe_verdichtung,stabil,2,16,14,2,4,2,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0ifxej6,dio_mcm_episode_1vo5mbv,-0.001144,0.00266,-0.005355,-0.006384,-0.015874,-0.084694
dio_mcm_episode_0ko7wqc,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,4,18,14,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,-0.01389,0.015485,-0.016821,0.037811,0.061637,0.074816
dio_mcm_episode_1iq1hgz,driftzone,driftzone,stabil,2,15,13,2,4,2,offene_variante,offene_variante,dio_mcm_episode_0om13wf,dio_mcm_episode_1i31hl0,0.032313,-0.022548,0.043757,0.038584,0.097892,-0.110321
dio_mcm_episode_0y1i8dq,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,7,19,12,3,4,1,zentrum_stabil,offene_variante,dio_mcm_episode_0ultars,dio_mcm_episode_0l3i7ey,-0.008101,0.017329,-0.026288,0.003217,-0.008198,0.106985
dio_mcm_episode_19a388p,randnahe_verdichtung,randnahe_verdichtung,stabil,2,14,12,2,4,2,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_1uqjjv3,dio_mcm_episode_06meqq1,0.00061,-0.004814,-0.00068,-0.019585,-0.021842,0.041971
dio_mcm_episode_0kvu3mb,randnahe_verdichtung,randnahe_verdichtung,stabil,2,13,11,2,3,1,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0q7skyc,dio_mcm_episode_0mvt50o,0.000599,-0.003802,-0.013905,-0.010542,-0.030515,-0.050596
dio_mcm_episode_0n5sqpn,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,4,11,7,3,4,1,offene_variante,offene_variante,dio_mcm_episode_0lne9ax,dio_mcm_episode_0l3i7ey,-0.003888,0.008719,-0.010317,0.020118,0.034122,0.054406
dio_mcm_episode_1i31hl0,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,4,11,7,2,4,2,offene_variante,offene_variante,dio_mcm_episode_00yl137,dio_mcm_episode_0om13wf,-0.002856,0.003694,-0.004236,0.025849,0.035882,0.013258
dio_mcm_episode_0tre8bg,randnahe_verdichtung,randnahe_verdichtung,stabil,2,7,5,2,4,2,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_1vfs1bz,dio_mcm_episode_0q7skyc,-0.001853,0.001153,-0.008508,-0.001516,-0.006711,-0.001642
dio_mcm_episode_0ultars,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,6,11,5,2,4,2,offene_variante,offene_variante,dio_mcm_episode_0ne8zu9,dio_mcm_episode_00dz86x,0.018302,-0.012364,0.004673,0.003282,0.007979,0.033465
dio_mcm_episode_0ybhu2p,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,3,7,4,2,3,1,offene_variante,offene_variante,dio_mcm_episode_0y1i8dq,dio_mcm_episode_00olfe8,-0.01628,0.016246,-0.034487,0.043285,0.063709,0.106995
dio_mcm_episode_1ve60mw,randnahe_verdichtung,randnahe_verdichtung,stabil,3,7,4,3,3,0,offene_variante,offene_variante,dio_mcm_episode_1teq7yv,dio_mcm_episode_1teq7yv,0.015532,-0.018151,0.035398,0.006724,0.01176,0.037287
dio_mcm_episode_0gc6ffz,rekopplungszone,rekopplungszone,stabil,3,6,3,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1hs3jsa,dio_mcm_episode_1hs3jsa,0.012914,0.00295,-0.008259,-0.014537,-0.036779,0.001615
dio_mcm_episode_06ccuqv,offene_bedeutungszone,offene_bedeutungszone,stabil,2,4,2,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_08fjvls,dio_mcm_episode_1al8fjz,-0.011876,0.012012,0.0073,-0.007394,-0.008232,-0.08292
dio_mcm_episode_0r1o8ja,driftzone,driftzone,stabil,5,7,2,3,4,1,offene_variante,offene_variante,dio_mcm_episode_0n5sqpn,dio_mcm_episode_1iq1hgz,0.011018,-0.013518,-0.014128,-0.017282,-0.042859,0.039665
dio_mcm_episode_19cadje,randnahe_verdichtung,randnahe_verdichtung,stabil,3,5,2,3,3,0,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_1a47ugk,dio_mcm_episode_181h3zs,-0.001821,0.005529,-0.001678,0.015345,0.017254,-0.03419
dio_mcm_episode_1yy9dcm,rekopplungszone,rekopplungszone,stabil,5,3,-2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1yefj2f,dio_mcm_episode_1aavr7r,-0.006974,-0.000736,0.012465,-0.008456,-0.005323,-0.022535
dio_mcm_episode_0ifxej6,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,3,4,1,3,2,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_19g1diz,dio_mcm_episode_0r1o8ja,-0.000888,9e-06,-0.00471,-0.003919,-0.012672,-0.068442
dio_mcm_episode_1aurt3q,rekopplungszone,rekopplungszone,stabil,3,2,-1,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ac3vc1,dio_mcm_episode_0ac3vc1,0.030016,-0.033698,0.059306,-0.045012,-0.070111,-0.143303
dio_mcm_episode_1rkfb77,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,6,5,-1,2,3,1,offene_variante,zentrum_stabil,dio_mcm_episode_1u741ze,dio_mcm_episode_01yulb6,0.006053,-0.011419,0.014433,-0.013795,-0.02643,-0.08975
