token,short_token,L894_class,L894_weight,L894_duration,L894_world_span,L901_class,L901_weight,L901_duration,L901_world_span,class_sequence,weight_sequence,duration_sequence,world_span_sequence,trend,max_rank,weight_delta_total
dio_mcm_episode_02ujuqf,02ujuqf,-,0,0.000000,0,brueckenkern,9,139.444444,3,- -> brueckenkern,0 -> 9,0.00 -> 139.44,0 -> 3,aufsteigende_verdichtung,4,9
dio_mcm_episode_0b7nep9,0b7nep9,starker_anschlussanker,35,470.942857,2,brueckenkern,228,85.149123,4,starker_anschlussanker -> brueckenkern,35 -> 228,470.94 -> 85.15,2 -> 4,aufsteigende_verdichtung,4,193
dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,3,699.666667,2,brueckenkern,215,71.018605,4,schwacher_anschluss -> brueckenkern,3 -> 215,699.67 -> 71.02,2 -> 4,aufsteigende_verdichtung,4,212
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,22,59.454546,5,brueckenkern,26,9.153846,5,lokaler_anschlussanker -> brueckenkern,22 -> 26,59.45 -> 9.15,5 -> 5,aufsteigende_verdichtung,4,4
dio_mcm_episode_14coypf,14coypf,-,0,0.000000,0,brueckenkern,57,100.070175,3,- -> brueckenkern,0 -> 57,0.00 -> 100.07,0 -> 3,aufsteigende_verdichtung,4,57
dio_mcm_episode_1jx2k4i,1jx2k4i,starker_anschlussanker,33,133.181818,5,brueckenkern,115,66.347826,6,starker_anschlussanker -> brueckenkern,33 -> 115,133.18 -> 66.35,5 -> 6,aufsteigende_verdichtung,4,82
dio_mcm_episode_1xx3u1e,1xx3u1e,lokaler_anschlussanker,12,15.000000,2,brueckenkern,49,125.081633,3,lokaler_anschlussanker -> brueckenkern,12 -> 49,15.00 -> 125.08,2 -> 3,aufsteigende_verdichtung,4,37
dio_mcm_episode_0db07p4,0db07p4,brueckenkern,47,56.425532,5,brueckenkern,23,56.956522,3,brueckenkern -> brueckenkern,47 -> 23,56.43 -> 56.96,5 -> 3,kernnah_gehalten,4,-24
dio_mcm_episode_0e7qvj1,0e7qvj1,brueckenkern,165,174.206061,5,brueckenkern,276,123.326087,6,brueckenkern -> brueckenkern,165 -> 276,174.21 -> 123.33,5 -> 6,kernnah_gehalten,4,111
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,27,2.259259,5,brueckenkern,31,2.548387,6,brueckenkern -> brueckenkern,27 -> 31,2.26 -> 2.55,5 -> 6,kernnah_gehalten,4,4
dio_mcm_episode_0mji3u6,0mji3u6,brueckenkern,43,180.372093,5,brueckenkern,97,94.061856,6,brueckenkern -> brueckenkern,43 -> 97,180.37 -> 94.06,5 -> 6,kernnah_gehalten,4,54
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,28,2.571429,5,brueckenkern,33,2.666667,6,brueckenkern -> brueckenkern,28 -> 33,2.57 -> 2.67,5 -> 6,kernnah_gehalten,4,5
dio_mcm_episode_18l3thm,18l3thm,brueckenkern,110,77.900000,5,brueckenkern,171,55.426901,6,brueckenkern -> brueckenkern,110 -> 171,77.90 -> 55.43,5 -> 6,kernnah_gehalten,4,61
dio_mcm_episode_18n06fj,18n06fj,brueckenkern,17,4.058824,3,brueckenkern,30,5.366667,5,brueckenkern -> brueckenkern,17 -> 30,4.06 -> 5.37,3 -> 5,kernnah_gehalten,4,13
dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,74,138.824324,5,brueckenkern,101,146.900990,6,brueckenkern -> brueckenkern,74 -> 101,138.82 -> 146.90,5 -> 6,kernnah_gehalten,4,27
dio_mcm_episode_0ybr5e3,0ybr5e3,-,0,0.000000,0,starker_anschlussanker,41,112.365854,1,- -> starker_anschlussanker,0 -> 41,0.00 -> 112.37,0 -> 1,aufsteigende_verdichtung,3,41
dio_mcm_episode_1ahj81f,1ahj81f,schwacher_anschluss,1,32.000000,1,starker_anschlussanker,30,15.066667,5,schwacher_anschluss -> starker_anschlussanker,1 -> 30,32.00 -> 15.07,1 -> 5,aufsteigende_verdichtung,3,29
dio_mcm_episode_1jwnjz4,1jwnjz4,schwacher_anschluss,13,20.230769,1,starker_anschlussanker,59,94.762712,4,schwacher_anschluss -> starker_anschlussanker,13 -> 59,20.23 -> 94.76,1 -> 4,aufsteigende_verdichtung,3,46
dio_mcm_episode_1q3us3f,1q3us3f,lokaler_anschlussanker,26,57.269231,3,starker_anschlussanker,39,59.589744,5,lokaler_anschlussanker -> starker_anschlussanker,26 -> 39,57.27 -> 59.59,3 -> 5,aufsteigende_verdichtung,3,13
