token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0e7qvj1,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,7519,32468,24949,3,5,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_1hdpu9s,0.000574,0.002429,0.006043,0.017101,-0.002454,-0.006924
dio_mcm_episode_1joiyc3,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,4629,1170,-3459,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1jx2k4i,dio_mcm_episode_1jx2k4i,-0.01275,0.008061,-0.002258,0.016873,-0.005433,0.013927
dio_mcm_episode_1xx3u1e,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,2964,1,-2963,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ybr5e3,dio_mcm_episode_1rtuf65,0.013382,-0.011142,0.01045,-0.028524,-0.080316,-0.014294
dio_mcm_episode_1hdpu9s,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,390,2928,2538,1,5,4,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.00279,0.003347,0.001431,0.034034,0.033245,0.005553
dio_mcm_episode_1jwnjz4,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,471,2885,2414,2,5,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.002208,0.004022,0.003506,0.023594,0.015271,-0.00556
dio_mcm_episode_0v5p8er,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,2013,82,-1931,4,3,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14l8khu,dio_mcm_episode_14l8khu,0.001472,-0.002363,0.0136,0.009513,-0.013093,-0.022313
dio_mcm_episode_14coypf,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,1584,57,-1527,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14l8khu,dio_mcm_episode_1jwnjz4,0.002783,-0.000726,0.001187,0.000144,-0.035307,0.029303
dio_mcm_episode_0ykar6i,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,1351,2,-1349,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0.017027,-0.035271,0.051676,-0.036114,-0.092629,-0.112937
dio_mcm_episode_1q3us3f,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,1093,73,-1020,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_1hdpu9s,-0.009106,0.010346,-0.019114,0.025727,0.015868,0.08107
dio_mcm_episode_0lfde2c,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,717,716,1,5,4,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1gwv1sr,dio_mcm_episode_0e7qvj1,-0.003123,0.000547,0.005199,-0.007541,-0.070537,-0.015102
