token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_1xx3u1e,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,2964,90,-2874,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ybr5e3,dio_mcm_episode_0geqqo3,0.000556,-0.003596,0.001452,-0.001566,0.001407,-0.008962
dio_mcm_episode_0v5p8er,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,2013,74,-1939,4,1,-3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14l8khu,dio_mcm_episode_1hs3jsa,0.007478,-0.007991,0.015664,-0.013785,-0.03004,-0.025395
dio_mcm_episode_0ykar6i,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,1351,4,-1347,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,-0.011403,0.007671,-0.016978,0.019322,0.051779,-0.009516
dio_mcm_episode_18l3thm,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,598,1539,941,2,5,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.001432,-0.00191,0.004275,-0.002182,-0.004157,4.6e-05
dio_mcm_episode_0lfde2c,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,756,755,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1gwv1sr,dio_mcm_episode_1rxdw4p,0.002862,-0.009822,0.005911,-0.050593,-0.113559,-0.004524
dio_mcm_episode_1eju9g0,stabile_bedeutungsinsel,junge_spur,verjuengung_oberflaeche,327,1,-326,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_17rahh6,0.020879,-0.018769,0.012623,-0.063064,-0.146688,0.004261
dio_mcm_episode_0db07p4,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,37,264,227,1,5,4,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1joiyc3,dio_mcm_episode_1joiyc3,-0.005021,0.004959,-0.016691,-0.007014,-0.021228,0.061561
dio_mcm_episode_17c7qwp,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,32,123,91,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1eju9g0,dio_mcm_episode_00nzcuc,-2.7e-05,-0.005856,-0.000792,-0.009517,-0.023505,0.025293
dio_mcm_episode_1hs3jsa,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,612,532,-80,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1q3us3f,dio_mcm_episode_0v5p8er,-0.000822,0.001783,0.001517,0.006298,0.014636,-0.009744
dio_mcm_episode_0mji3u6,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,163,98,-65,2,5,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.002398,0.002914,-0.00619,-0.002081,-0.004032,0.012128
dio_mcm_episode_1jwnjz4,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,471,507,36,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.002764,0.000951,-0.001067,0.00619,0.017194,-0.002756
dio_mcm_episode_0w4x7xs,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,48,28,-20,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0geqqo3,0.001813,-0.000358,-0.003401,-0.005511,-0.015041,0.005751
dio_mcm_episode_0ldenly,junge_spur,hoeherer_cluster_uebergang,reifung_oder_verdichtung,1,8,7,1,4,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jrpwoa,dio_mcm_episode_0lne9ax,-0.008957,0.015074,-0.033615,0.029526,0.066367,0.124512
dio_mcm_episode_0aztxel,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,8,14,6,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0hjnwsk,dio_mcm_episode_0hjnwsk,-0.031388,0.027307,-0.047209,0.004712,0.001933,0.077507
dio_mcm_episode_102i30n,randnahe_verdichtung,hoeherer_cluster_uebergang,randnaehe_rekoppelt,3,9,6,1,3,2,offene_variante,zentrum_stabil,dio_mcm_episode_1jc5z5p,dio_mcm_episode_1ovglru,0.025271,-0.033952,0.059547,-0.039315,-0.095094,-0.089183
