sequence,event_count,relations
forward,1,831
forward,2,342
forward,3,168
forward,4,104
forward,5,89
forward,6,60
forward,7,44
forward,8,40
forward,9,37
forward,10,21
forward,11,30
forward,12,23
forward,13,23
forward,14,11
forward,15,16
forward,16,11
forward,17,22
forward,18,18
forward,19,15
forward,20,16
forward,21,12
forward,22,4
forward,23,7
forward,24,11
forward,25,5
forward,26,5
forward,27,4
forward,28,5
forward,29,6
forward,30,4
forward,31,3
forward,32,3
forward,33,3
forward,34,3
forward,35,1
forward,36,2
forward,37,3
forward,39,1
forward,40,3
forward,41,4
forward,42,1
forward,43,2
forward,45,1
forward,46,3
forward,48,1
forward,49,1
forward,50,1
forward,51,1
forward,52,1
forward,54,3
forward,57,3
forward,59,3
forward,60,3
forward,62,1
forward,65,1
forward,67,1
forward,68,1
forward,69,3
forward,70,1
forward,75,1
forward,76,1
forward,78,1
forward,79,1
reverse,1,930
reverse,2,324
reverse,3,157
reverse,4,100
reverse,5,74
reverse,6,51
reverse,7,40
reverse,8,39
reverse,9,36
reverse,10,35
reverse,11,27
reverse,12,10
reverse,13,17
reverse,14,14
reverse,15,26
reverse,16,15
reverse,17,9
reverse,18,19
reverse,19,12
reverse,20,11
reverse,21,14
reverse,22,10
reverse,23,7
reverse,24,6
reverse,25,9
reverse,26,11
reverse,27,4
reverse,28,3
reverse,29,3
reverse,30,5
reverse,31,4
reverse,32,2
reverse,33,4
reverse,34,1
reverse,35,3
reverse,36,3
reverse,37,5
reverse,39,2
reverse,40,3
reverse,41,2
reverse,42,2
reverse,44,3
reverse,45,2
reverse,46,5
reverse,47,1
reverse,48,3
reverse,49,1
reverse,50,1
reverse,52,1
reverse,54,1
reverse,55,3
reverse,57,1
reverse,58,1
reverse,59,1
reverse,62,1
reverse,65,1
reverse,67,1
reverse,68,1
reverse,69,1
reverse,71,1
reverse,72,1
reverse,73,1
reverse,74,1
reverse,75,1
reverse,78,2
