asset,timeframe,window_start,component,lag,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
BTC,15m,12000,magnitude,17,magnitude_phase_017,0.75,0.875,-0.125,0.022132796780684104,0.019114688128772636,0.0030181086519114678,0.25,0.25,0.0,0.19866495000000003,0.2294766,-0.030811649999999968,0.37735882499999995,0.5681646,-0.19080577500000007,0
BTC,15m,12000,magnitude,83,magnitude_phase_083,0.75,1.0,-0.25,0.022132796780684104,0.01710261569416499,0.005030181086519113,0.25,0.25,0.0,0.19866495000000003,0.13338850000000002,0.06527645000000001,0.37735882499999995,0.569666375,-0.19230755,0
BTC,15m,12000,magnitude,251,magnitude_phase_251,0.75,0.75,0.0,0.022132796780684104,0.028169014084507043,-0.006036217303822939,0.25,0.375,-0.125,0.19866495000000003,0.27848149999999994,-0.0798165499999999,0.37735882499999995,0.3307889090909091,0.046569915909090875,0
BTC,15m,12000,wick,17,wick_phase_017,0.75,0.875,-0.125,0.022132796780684104,0.030181086519114688,-0.008048289738430584,0.25,0.125,0.125,0.19866495000000003,0.24078834090909088,-0.04212339090909084,0.37735882499999995,0.26494953409090904,0.11240929090909091,0
BTC,15m,12000,wick,83,wick_phase_083,0.75,0.75,0.0,0.022132796780684104,0.03319919517102616,-0.011066398390342055,0.25,0.375,-0.125,0.19866495000000003,0.30896780000000007,-0.11030285000000004,0.37735882499999995,0.4272512333333332,-0.04989240833333325,0
BTC,15m,12000,wick,251,wick_phase_251,0.75,0.875,-0.125,0.022132796780684104,0.030181086519114688,-0.008048289738430584,0.25,0.375,-0.125,0.19866495000000003,0.21212933333333334,-0.013464383333333302,0.37735882499999995,0.24712465384615379,0.13023417115384617,0
BTC,15m,12000,volume,17,volume_phase_017,0.75,1.0,-0.25,0.022132796780684104,0.03219315895372234,-0.010060362173038233,0.25,0.25,0.0,0.19866495000000003,0.24290203508771935,-0.04423708508771931,0.37735882499999995,0.2741982046783626,0.10316062032163736,0
BTC,15m,12000,volume,83,volume_phase_083,0.75,1.0,-0.25,0.022132796780684104,0.029175050301810865,-0.007042253521126762,0.25,0.25,0.0,0.19866495000000003,0.13196830952380953,0.0666966404761905,0.37735882499999995,0.25611194047619046,0.1212468845238095,0
BTC,15m,12000,volume,251,volume_phase_251,0.75,0.875,-0.125,0.022132796780684104,0.02716297786720322,-0.005030181086519116,0.25,0.5,-0.25,0.19866495000000003,0.2542911666666667,-0.055626216666666645,0.37735882499999995,0.5029390555555555,-0.12558023055555556,0
BTC,15m,24000,sign,17,sign_phase_017,0.875,0.75,0.125,0.02012072434607646,0.019114688128772636,0.0010060362173038226,0.375,0.125,0.25,0.20776861904761906,0.17420197500000006,0.033566644047619,0.4250554285714286,0.253218025,0.17183740357142857,1
BTC,15m,24000,sign,83,sign_phase_083,0.875,0.75,0.125,0.02012072434607646,0.022132796780684104,-0.002012072434607645,0.375,0.125,0.25,0.20776861904761906,0.403344075,-0.19557545595238096,0.4250554285714286,0.45890595,-0.03385052142857142,0
BTC,15m,24000,sign,251,sign_phase_251,0.875,0.875,0.0,0.02012072434607646,0.018108651911468814,0.002012072434607645,0.375,0.25,0.125,0.20776861904761906,0.26666633333333334,-0.058897714285714275,0.4250554285714286,0.5128960555555555,-0.08784062698412692,0
BTC,15m,24000,magnitude,17,magnitude_phase_017,0.875,0.75,0.125,0.02012072434607646,0.01609657947686117,0.00402414486921529,0.375,0.125,0.25,0.20776861904761906,0.13591116666666664,0.07185745238095242,0.4250554285714286,0.3546473333333333,0.07040809523809527,1
BTC,15m,24000,magnitude,83,magnitude_phase_083,0.875,0.875,0.0,0.02012072434607646,0.022132796780684104,-0.002012072434607645,0.375,0.0,0.375,0.20776861904761906,0.0988738888888889,0.10889473015873016,0.4250554285714286,0.3052468888888888,0.1198085396825398,0
BTC,15m,24000,magnitude,251,magnitude_phase_251,0.875,0.875,0.0,0.02012072434607646,0.02112676056338028,-0.0010060362173038226,0.375,0.125,0.25,0.20776861904761906,0.2380521666666667,-0.03028354761904764,0.4250554285714286,0.5444656666666666,-0.11941023809523804,0
BTC,15m,24000,wick,17,wick_phase_017,0.875,0.875,0.0,0.02012072434607646,0.029175050301810865,-0.009054325955734407,0.375,0.375,0.0,0.20776861904761906,0.2931925972222222,-0.08542397817460312,0.4250554285714286,0.45250545833333333,-0.02745002976190475,0
BTC,15m,24000,wick,83,wick_phase_083,0.875,1.0,-0.125,0.02012072434607646,0.029175050301810865,-0.009054325955734407,0.375,0.25,0.125,0.20776861904761906,0.3043465681818182,-0.09657794913419915,0.4250554285714286,0.4442408863636364,-0.019185457792207816,0
BTC,15m,24000,wick,251,wick_phase_251,0.875,0.875,0.0,0.02012072434607646,0.03219315895372234,-0.012072434607645878,0.375,0.25,0.125,0.20776861904761906,0.30815672619047624,-0.10038810714285717,0.4250554285714286,0.3756445119047619,0.04941091666666669,0
BTC,15m,24000,volume,17,volume_phase_017,0.875,1.0,-0.125,0.02012072434607646,0.026156941649899398,-0.006036217303822939,0.375,0.25,0.125,0.20776861904761906,0.27949902857142855,-0.07173040952380949,0.4250554285714286,0.45464288571428574,-0.029587457142857154,0
BTC,15m,24000,volume,83,volume_phase_083,0.875,0.875,0.0,0.02012072434607646,0.025150905432595575,-0.005030181086519116,0.375,0.25,0.125,0.20776861904761906,0.2835839583333334,-0.07581533928571432,0.4250554285714286,0.5632019583333334,-0.13814652976190483,0
BTC,15m,24000,volume,251,volume_phase_251,0.875,0.875,0.0,0.02012072434607646,0.023138832997987926,-0.0030181086519114678,0.375,0.25,0.125,0.20776861904761906,0.24024271428571428,-0.03247409523809522,0.4250554285714286,0.49530135714285706,-0.07024592857142847,0
BTC,1h,0,sign,17,sign_phase_017,0.625,0.625,0.0,0.013078470824949699,0.01710261569416499,-0.004024144869215292,0.0,0.25,-0.25,0.131469,0.30968549999999995,-0.17821649999999994,0.20752574999999995,0.5251426666666665,-0.3176169166666666,0
BTC,1h,0,sign,83,sign_phase_083,0.625,0.75,-0.125,0.013078470824949699,0.019114688128772636,-0.006036217303822937,0.0,0.125,-0.125,0.131469,0.2745306,-0.1430616,0.20752574999999995,0.5909057999999999,-0.38338004999999997,0
BTC,1h,0,sign,251,sign_phase_251,0.625,0.75,-0.125,0.013078470824949699,0.015090543259557344,-0.002012072434607645,0.0,0.25,-0.25,0.131469,0.17220059999999998,-0.04073159999999998,0.20752574999999995,0.42581199999999997,-0.21828625000000001,0
BTC,1h,0,magnitude,17,magnitude_phase_017,0.625,0.75,-0.125,0.013078470824949699,0.019114688128772636,-0.006036217303822937,0.0,0.125,-0.125,0.131469,0.26112962500000003,-0.12966062500000003,0.20752574999999995,0.47932612499999994,-0.271800375,0
BTC,1h,0,magnitude,83,magnitude_phase_083,0.625,0.625,0.0,0.013078470824949699,0.014084507042253521,-0.0010060362173038226,0.0,0.25,-0.25,0.131469,0.14754983333333332,-0.016080833333333322,0.20752574999999995,0.5518918333333334,-0.3443660833333334,0
BTC,1h,0,magnitude,251,magnitude_phase_251,0.625,0.75,-0.125,0.013078470824949699,0.01710261569416499,-0.004024144869215292,0.0,0.125,-0.125,0.131469,0.17182160714285713,-0.04035260714285713,0.20752574999999995,0.34487742857142867,-0.13735167857142871,0
BTC,1h,0,wick,17,wick_phase_017,0.625,0.5,0.125,0.013078470824949699,0.01609657947686117,-0.0030181086519114695,0.0,0.25,-0.25,0.131469,0.23200862500000002,-0.10053962500000002,0.20752574999999995,0.32102691666666666,-0.11350116666666671,0
BTC,1h,0,wick,83,wick_phase_083,0.625,0.875,-0.25,0.013078470824949699,0.028169014084507043,-0.015090543259557344,0.0,0.25,-0.25,0.131469,0.2923871833333333,-0.1609181833333333,0.20752574999999995,0.35930683333333335,-0.1517810833333334,0
BTC,1h,0,wick,251,wick_phase_251,0.625,0.75,-0.125,0.013078470824949699,0.02112676056338028,-0.008048289738430582,0.0,0.25,-0.25,0.131469,0.18060541071428574,-0.04913641071428573,0.20752574999999995,0.26654719642857144,-0.05902144642857149,0
BTC,1h,0,volume,17,volume_phase_017,0.625,0.75,-0.125,0.013078470824949699,0.030181086519114688,-0.01710261569416499,0.0,0.375,-0.375,0.131469,0.2721231875,-0.14065418749999997,0.20752574999999995,0.33992575,-0.13240000000000007,0
BTC,1h,0,volume,83,volume_phase_083,0.625,0.75,-0.125,0.013078470824949699,0.023138832997987926,-0.010060362173038228,0.0,0.125,-0.125,0.131469,0.12275742857142859,0.008711571428571416,0.20752574999999995,0.09099455555555552,0.11653119444444443,0
BTC,1h,0,volume,251,volume_phase_251,0.625,0.875,-0.25,0.013078470824949699,0.029175050301810865,-0.01609657947686117,0.0,0.5,-0.5,0.131469,0.23118132967032973,-0.09971232967032972,0.20752574999999995,0.3720050659340659,-0.16447931593406595,0
BTC,1h,3000,sign,17,sign_phase_017,0.75,0.75,0.0,0.022132796780684104,0.014084507042253521,0.008048289738430582,0.25,0.25,0.0,0.18577212499999998,0.1608835,0.02488862499999997,0.37395899999999993,0.50781575,-0.13385675000000008,0
BTC,1h,3000,sign,83,sign_phase_083,0.75,0.75,0.0,0.022132796780684104,0.01609657947686117,0.0060362173038229355,0.25,0.0,0.25,0.18577212499999998,0.16904966666666665,0.01672245833333333,0.37395899999999993,0.2737923333333333,0.10016666666666663,0
BTC,1h,3000,sign,251,sign_phase_251,0.75,0.75,0.0,0.022132796780684104,0.018108651911468814,0.00402414486921529,0.25,0.125,0.125,0.18577212499999998,0.14034533333333332,0.04542679166666666,0.37395899999999993,0.38737522222222226,-0.01341622222222233,0
BTC,1h,3000,magnitude,17,magnitude_phase_017,0.75,0.875,-0.125,0.022132796780684104,0.014084507042253521,0.008048289738430582,0.25,0.0,0.25,0.18577212499999998,0.07207749999999999,0.113694625,0.37395899999999993,0.32466649999999997,0.04929249999999996,0
BTC,1h,3000,magnitude,83,magnitude_phase_083,0.75,1.0,-0.25,0.022132796780684104,0.022132796780684104,0.0,0.25,0.25,0.0,0.18577212499999998,0.1435788,0.042193324999999976,0.37395899999999993,0.5261372,-0.15217820000000004,0
BTC,1h,3000,magnitude,251,magnitude_phase_251,0.75,0.875,-0.125,0.022132796780684104,0.013078470824949699,0.009054325955734405,0.25,0.125,0.125,0.18577212499999998,0.17374678571428573,0.012025339285714254,0.37395899999999993,0.577875,-0.2039160000000001,0
BTC,1h,3000,wick,17,wick_phase_017,0.75,0.875,-0.125,0.022132796780684104,0.015090543259557344,0.00704225352112676,0.25,0.0,0.25,0.18577212499999998,0.1512484285714286,0.03452369642857139,0.37395899999999993,0.4850334285714286,-0.11107442857142868,0
BTC,1h,3000,wick,83,wick_phase_083,0.75,0.625,0.125,0.022132796780684104,0.022132796780684104,0.0,0.25,0.125,0.125,0.18577212499999998,0.2625744696969697,-0.0768023446969697,0.37395899999999993,0.4054084393939394,-0.03144943939393946,0
BTC,1h,3000,wick,251,wick_phase_251,0.75,0.75,0.0,0.022132796780684104,0.023138832997987926,-0.0010060362173038226,0.25,0.25,0.0,0.18577212499999998,0.33171325714285715,-0.14594113214285717,0.37395899999999993,0.4204857142857143,-0.046526714285714366,0
BTC,1h,3000,volume,17,volume_phase_017,0.75,0.875,-0.125,0.022132796780684104,0.025150905432595575,-0.0030181086519114712,0.25,0.375,-0.125,0.18577212499999998,0.22667071428571425,-0.04089858928571427,0.37395899999999993,0.2718359047619048,0.10212309523809515,0
BTC,1h,3000,volume,83,volume_phase_083,0.75,0.625,0.125,0.022132796780684104,0.026156941649899398,-0.004024144869215294,0.25,0.25,0.0,0.18577212499999998,0.17816717948717947,0.00760494551282051,0.37395899999999993,0.1587368076923078,0.21522219230769213,0
BTC,1h,3000,volume,251,volume_phase_251,0.75,0.875,-0.125,0.022132796780684104,0.030181086519114688,-0.008048289738430584,0.25,0.375,-0.125,0.18577212499999998,0.24043806250000005,-0.05466593750000007,0.37395899999999993,0.3600235178571429,0.013935482142857003,0
BTC,1h,6000,sign,17,sign_phase_017,0.875,0.875,0.0,0.022132796780684104,0.035211267605633804,-0.0130784708249497,0.375,0.375,0.0,0.20771697727272728,0.27550299999999994,-0.06778602272727266,0.35784299999999997,0.3929274444444444,-0.03508444444444442,0
BTC,1h,6000,sign,83,sign_phase_083,0.875,0.75,0.125,0.022132796780684104,0.019114688128772636,0.0030181086519114678,0.375,0.125,0.25,0.20771697727272728,0.237600425,-0.02988344772727272,0.35784299999999997,0.39532280000000003,-0.03747980000000006,1
BTC,1h,6000,sign,251,sign_phase_251,0.875,0.625,0.25,0.022132796780684104,0.014084507042253521,0.008048289738430582,0.375,0.25,0.125,0.20771697727272728,0.21964879999999998,-0.011931822727272695,0.35784299999999997,0.44978245,-0.09193945000000003,1
BTC,1h,6000,magnitude,17,magnitude_phase_017,0.875,0.75,0.125,0.022132796780684104,0.012072434607645875,0.01006036217303823,0.375,0.125,0.25,0.20771697727272728,0.1348595,0.07285747727272729,0.35784299999999997,0.4488553333333333,-0.0910123333333333,1
BTC,1h,6000,magnitude,83,magnitude_phase_083,0.875,0.75,0.125,0.022132796780684104,0.02012072434607646,0.002012072434607645,0.375,0.125,0.25,0.20771697727272728,0.23835738095238093,-0.03064040367965365,0.35784299999999997,0.307446619047619,0.05039638095238097,1
BTC,1h,6000,magnitude,251,magnitude_phase_251,0.875,0.875,0.0,0.022132796780684104,0.01609657947686117,0.0060362173038229355,0.375,0.25,0.125,0.20771697727272728,0.10391216666666667,0.10380481060606062,0.35784299999999997,0.3423233333333333,0.015519666666666654,0
BTC,1h,6000,wick,17,wick_phase_017,0.875,1.0,-0.125,0.022132796780684104,0.023138832997987926,-0.0010060362173038226,0.375,0.25,0.125,0.20771697727272728,0.1928195892857143,0.014897387987012983,0.35784299999999997,0.3677890714285714,-0.009946071428571457,0
BTC,1h,6000,wick,83,wick_phase_083,0.875,0.875,0.0,0.022132796780684104,0.018108651911468814,0.00402414486921529,0.375,0.125,0.25,0.20771697727272728,0.181224,0.026492977272727286,0.35784299999999997,0.6627625,-0.30491950000000007,0
BTC,1h,6000,wick,251,wick_phase_251,0.875,0.75,0.125,0.022132796780684104,0.02012072434607646,0.002012072434607645,0.375,0.125,0.25,0.20771697727272728,0.2777299999999999,-0.07001302272727264,0.35784299999999997,0.4475667111111111,-0.08972371111111116,1
BTC,1h,6000,volume,17,volume_phase_017,0.875,1.0,-0.125,0.022132796780684104,0.026156941649899398,-0.004024144869215294,0.375,0.125,0.25,0.20771697727272728,0.14276475961538465,0.06495221765734263,0.35784299999999997,0.21198484615384616,0.1458581538461538,0
BTC,1h,6000,volume,83,volume_phase_083,0.875,0.875,0.0,0.022132796780684104,0.026156941649899398,-0.004024144869215294,0.375,0.625,-0.25,0.20771697727272728,0.19781312727272726,0.00990385000000002,0.35784299999999997,0.38359319999999997,-0.0257502,0
BTC,1h,6000,volume,251,volume_phase_251,0.875,0.75,0.125,0.022132796780684104,0.026156941649899398,-0.004024144869215294,0.375,0.25,0.125,0.20771697727272728,0.3279101666666666,-0.12019318939393933,0.35784299999999997,0.4068491212121211,-0.04900612121212111,0
SOL,15m,0,sign,17,sign_phase_017,1.0,0.625,0.375,0.02414486921529175,0.018108651911468814,0.0060362173038229355,0.125,0.0,0.125,0.23638206666666667,0.20166084999999997,0.03472121666666669,0.4240095833333333,0.26693554999999997,0.1570740333333333,1
SOL,15m,0,sign,83,sign_phase_083,1.0,0.625,0.375,0.02414486921529175,0.02012072434607646,0.00402414486921529,0.125,0.25,-0.125,0.23638206666666667,0.20052644444444442,0.035855622222222244,0.4240095833333333,0.44306866666666667,-0.019059083333333393,1
SOL,15m,0,sign,251,sign_phase_251,1.0,1.0,0.0,0.02414486921529175,0.026156941649899398,-0.0020120724346076486,0.125,0.25,-0.125,0.23638206666666667,0.1749798787878788,0.06140218787878787,0.4240095833333333,0.2761289696969696,0.14788061363636368,0
SOL,15m,0,magnitude,17,magnitude_phase_017,1.0,1.0,0.0,0.02414486921529175,0.02414486921529175,0.0,0.125,0.375,-0.25,0.23638206666666667,0.21900046031746034,0.017381606349206324,0.4240095833333333,0.40380784126984126,0.020201742063492012,0
SOL,15m,0,magnitude,83,magnitude_phase_083,1.0,0.75,0.25,0.02414486921529175,0.02716297786720322,-0.0030181086519114712,0.125,0.375,-0.25,0.23638206666666667,0.2804422363636363,-0.04406016969696963,0.4240095833333333,0.3560323000000001,0.0679772833333332,0
SOL,15m,0,magnitude,251,magnitude_phase_251,1.0,1.0,0.0,0.02414486921529175,0.028169014084507043,-0.004024144869215294,0.125,0.125,0.0,0.23638206666666667,0.1682904,0.06809166666666666,0.4240095833333333,0.29092203333333333,0.13308754999999994,0
SOL,15m,0,wick,17,wick_phase_017,1.0,0.875,0.125,0.02414486921529175,0.03219315895372234,-0.008048289738430588,0.125,0.25,-0.125,0.23638206666666667,0.19545553535353538,0.04092653131313129,0.4240095833333333,0.22826534343434335,0.19574423989898992,0
SOL,15m,0,wick,83,wick_phase_083,1.0,1.0,0.0,0.02414486921529175,0.025150905432595575,-0.001006036217303826,0.125,0.25,-0.125,0.23638206666666667,0.12387876767676768,0.11250329898989898,0.4240095833333333,0.20693025252525266,0.21707933080808062,0
SOL,15m,0,wick,251,wick_phase_251,1.0,1.0,0.0,0.02414486921529175,0.03118712273641851,-0.007042253521126762,0.125,0.375,-0.25,0.23638206666666667,0.18533269642857142,0.05104937023809525,0.4240095833333333,0.28907075000000004,0.13493883333333323,0
SOL,15m,0,volume,17,volume_phase_017,1.0,0.875,0.125,0.02414486921529175,0.030181086519114688,-0.006036217303822939,0.125,0.125,0.0,0.23638206666666667,0.29938392857142854,-0.06300186190476187,0.4240095833333333,0.4126107738095238,0.01139880952380945,0
SOL,15m,0,volume,83,volume_phase_083,1.0,0.875,0.125,0.02414486921529175,0.025150905432595575,-0.001006036217303826,0.125,0.125,0.0,0.23638206666666667,0.2457095138888889,-0.00932744722222223,0.4240095833333333,0.3331229583333334,0.09088662499999989,0
SOL,15m,0,volume,251,volume_phase_251,1.0,1.0,0.0,0.02414486921529175,0.026156941649899398,-0.0020120724346076486,0.125,0.25,-0.125,0.23638206666666667,0.23503006060606063,0.001352006060606037,0.4240095833333333,0.3862908484848485,0.03771873484848476,0
SOL,15m,12000,sign,17,sign_phase_017,0.875,0.875,0.0,0.028169014084507043,0.02716297786720322,0.0010060362173038226,0.25,0.25,0.0,0.2908445666666666,0.22573996153846154,0.06510460512820504,0.4738984999999999,0.36746929487179497,0.10642920512820492,0
SOL,15m,12000,sign,83,sign_phase_083,0.875,0.875,0.0,0.028169014084507043,0.029175050301810865,-0.0010060362173038226,0.25,0.25,0.0,0.2908445666666666,0.1954812941176471,0.0953632725490195,0.4738984999999999,0.3282705882352942,0.1456279117647057,0
SOL,15m,12000,sign,251,sign_phase_251,0.875,1.0,-0.125,0.028169014084507043,0.023138832997987926,0.005030181086519116,0.25,0.25,0.0,0.2908445666666666,0.17978322222222223,0.11106134444444435,0.4738984999999999,0.27501822222222216,0.19888027777777773,0
SOL,15m,12000,magnitude,17,magnitude_phase_017,0.875,1.0,-0.125,0.028169014084507043,0.03319919517102616,-0.005030181086519116,0.25,0.5,-0.25,0.2908445666666666,0.33264375,-0.041799183333333434,0.4738984999999999,0.4798035,-0.005905000000000105,0
SOL,15m,12000,magnitude,83,magnitude_phase_083,0.875,0.875,0.0,0.028169014084507043,0.025150905432595575,0.0030181086519114678,0.25,0.25,0.0,0.2908445666666666,0.165348375,0.1254961916666666,0.4738984999999999,0.29507420833333337,0.17882429166666652,0
SOL,15m,12000,magnitude,251,magnitude_phase_251,0.875,1.0,-0.125,0.028169014084507043,0.03118712273641851,-0.0030181086519114678,0.25,0.375,-0.125,0.2908445666666666,0.21584429545454548,0.0750002712121211,0.4738984999999999,0.26218417424242424,0.21171432575757565,0
SOL,15m,12000,wick,17,wick_phase_017,0.875,1.0,-0.125,0.028169014084507043,0.03118712273641851,-0.0030181086519114678,0.25,0.375,-0.125,0.2908445666666666,0.3032202909090909,-0.012375724242424335,0.4738984999999999,0.38651848181818194,0.08738001818181795,0
SOL,15m,12000,wick,83,wick_phase_083,0.875,0.875,0.0,0.028169014084507043,0.03319919517102616,-0.005030181086519116,0.25,0.5,-0.25,0.2908445666666666,0.33005909090909086,-0.039214524242424276,0.4738984999999999,0.46419758181818177,0.009700918181818119,0
SOL,15m,12000,wick,251,wick_phase_251,0.875,1.0,-0.125,0.028169014084507043,0.03319919517102616,-0.005030181086519116,0.25,0.5,-0.25,0.2908445666666666,0.24827445833333334,0.042570108333333245,0.4738984999999999,0.3640879166666667,0.10981058333333321,0
SOL,15m,12000,volume,17,volume_phase_017,0.875,0.625,0.25,0.028169014084507043,0.028169014084507043,0.0,0.25,0.5,-0.25,0.2908445666666666,0.32057230000000003,-0.02972773333333345,0.4738984999999999,0.3705365,0.1033619999999999,0
SOL,15m,12000,volume,83,volume_phase_083,0.875,0.875,0.0,0.028169014084507043,0.028169014084507043,0.0,0.25,0.375,-0.125,0.2908445666666666,0.3228223,-0.031977733333333425,0.4738984999999999,0.48861950000000004,-0.01472100000000015,0
SOL,15m,12000,volume,251,volume_phase_251,0.875,0.875,0.0,0.028169014084507043,0.03219315895372234,-0.004024144869215294,0.25,0.375,-0.125,0.2908445666666666,0.26008582142857145,0.03075874523809513,0.4738984999999999,0.3568720000000001,0.11702649999999981,0
SOL,15m,24000,sign,17,sign_phase_017,0.875,0.875,0.0,0.030181086519114688,0.029175050301810865,0.0010060362173038226,0.5,0.375,0.125,0.23192658095238092,0.2582713888888889,-0.02634480793650798,0.332140780952381,0.33547374999999996,-0.0033329690476189833,0
SOL,15m,24000,sign,83,sign_phase_083,0.875,0.875,0.0,0.030181086519114688,0.023138832997987926,0.007042253521126762,0.5,0.375,0.125,0.23192658095238092,0.22166388888888888,0.010262692063492035,0.332140780952381,0.2088746944444445,0.12326608650793647,0
SOL,15m,24000,sign,251,sign_phase_251,0.875,1.0,-0.125,0.030181086519114688,0.026156941649899398,0.00402414486921529,0.5,0.375,0.125,0.23192658095238092,0.19784291666666667,0.034083664285714244,0.332140780952381,0.3448492023809523,-0.012708421428571315,0
SOL,15m,24000,magnitude,17,magnitude_phase_017,0.875,1.0,-0.125,0.030181086519114688,0.02716297786720322,0.0030181086519114678,0.5,0.125,0.375,0.23192658095238092,0.07681693406593407,0.15510964688644685,0.332140780952381,0.3014805824175825,0.030660198534798455,0
SOL,15m,24000,magnitude,83,magnitude_phase_083,0.875,0.75,0.125,0.030181086519114688,0.02012072434607646,0.01006036217303823,0.5,0.25,0.25,0.23192658095238092,0.1673172222222222,0.06460935873015872,0.332140780952381,0.46364283333333334,-0.13150205238095236,1
SOL,15m,24000,magnitude,251,magnitude_phase_251,0.875,1.0,-0.125,0.030181086519114688,0.03319919517102616,-0.0030181086519114712,0.5,0.5,0.0,0.23192658095238092,0.27640625454545453,-0.044479673593073615,0.332140780952381,0.37815461818181817,-0.04601383722943719,0
SOL,15m,24000,wick,17,wick_phase_017,0.875,0.875,0.0,0.030181086519114688,0.02012072434607646,0.01006036217303823,0.5,0.125,0.375,0.23192658095238092,0.14663749999999998,0.08528908095238094,0.332140780952381,0.3824377272727273,-0.050296946320346314,0
