asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,target_members,found_members,member_coverage,found_symbols,missing_symbols,total_family_events,family_event_share,event_concentration,event_balance,dominant_member,phase_complete_members,phase_complete_ratio,early_family_events,late_family_events,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,source_follow_reading,boundary,control_kind
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_05,8,6,0.75,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein,dio_0u24;dio_0qup,15,0.015090543259557344,0.3333333333333333,0.761904761904762,dio_1xrt,1,0.125,5,8,0.745918125,0.13503700000000002,0.153887,0.5789569999999999,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_06,8,3,0.375,dio_0s8r;dio_0gh3;dio_1yhs,dio_1xme;dio_0f8s;dio_0nx9;dio_1ejq;dio_0lr0,3,0.0030181086519114686,0.3333333333333333,0.761904761904762,dio_0s8r,0,0.0,1,1,0.691727,0.201428,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,20,0.02012072434607646,0.55,0.8999999999999999,dio_0g2r,2,1.0,5,8,0.743643625,0.157533,0.43866792500000007,0.41918494999999995,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_08,2,1,0.5,dio_0h6t,dio_1w94,1,0.001006036217303823,1.0,0.0,dio_0h6t,0,0.0,0,1,0.706909,0.176406,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_10,2,1,0.5,dio_0ioc,dio_0jsd,1,0.001006036217303823,1.0,0.0,dio_0ioc,0,0.0,1,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_13,3,1,0.3333333333333333,dio_1sub,dio_1t9l;dio_14l0,2,0.002012072434607646,1.0,0.0,dio_1sub,0,0.0,0,1,0.699586,0.195885,0.099826,0.625251,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_17,2,2,1.0,dio_1udx;dio_1cmd,,3,0.0030181086519114686,0.6666666666666666,0.6666666666666667,dio_1cmd,0,0.0,0,1,0.705627,0.189417,0.099307,0.623825,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,5000,6000,null_shuffle_btc_5000_6000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start5000_shuffle_order_1000.csv,994,rf_21,2,2,1.0,dio_1pij;dio_1v2w,,13,0.013078470824949699,0.6923076923076923,0.6153846153846154,dio_1v2w,2,1.0,3,5,0.7138443999999999,0.1873906,0.37769220000000003,0.5537324,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,6000,7000,null_shuffle_btc_6000_7000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start6000_shuffle_order_1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0qup,dio_0u24,21,0.02112676056338028,0.23809523809523808,0.8707482993197279,dio_0fe7,1,0.125,5,8,0.74466875,0.14375025,0.14164567500000003,0.34255395,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,6000,7000,null_shuffle_btc_6000_7000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start6000_shuffle_order_1000.csv,994,rf_06,8,3,0.375,dio_0s8r;dio_1ejq;dio_0lr0,dio_1xme;dio_0f8s;dio_0nx9;dio_0gh3;dio_1yhs,3,0.0030181086519114686,0.3333333333333333,0.761904761904762,dio_0s8r,0,0.0,0,1,0.703893,0.1935,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,6000,7000,null_shuffle_btc_6000_7000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start6000_shuffle_order_1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,20,0.02012072434607646,0.5,1.0,dio_1ewh,1,0.5,9,8,0.74665475,0.15414187499999998,0.34270408333333335,0.27395975000000006,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,6000,7000,null_shuffle_btc_6000_7000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start6000_shuffle_order_1000.csv,994,rf_08,2,2,1.0,dio_0h6t;dio_1w94,,3,0.0030181086519114686,0.6666666666666666,0.6666666666666667,dio_0h6t,0,0.0,2,1,0.739939,0.140093,0.100213,0.620176,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
BTC,6000,7000,null_shuffle_btc_6000_7000,data/generated/2070_role_family_followworlds/kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,data/generated/2073_role_family_null_controls/kontrolliert_2073_btc_start6000_shuffle_order_1000.csv,994,rf_10,2,2,1.0,dio_0jsd;dio_0ioc,,4,0.004024144869215292,0.75,0.5,dio_0jsd,0,0.0,0,3,0.69471,0.20407366666666668,0.09436333333333334,0.4315366666666667,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,shuffle
