typology,note,world,pair,events,ticks,chart_zone,dominant_movement,main_return_pct,main_range_pct,before_return_pct,after_return_pct,mcm_pressure_abs,mcm_rekopplung_abs,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
gerichtete_bewegung_mit_rekopplung,Richtung laeuft und koppelt im Feld wieder an.,EXT_EXPANSION_2023,183drjy->1t5bcxp,4,506-526,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.345291,3.318386,0.360036,0.530973,0.040209,0.006682,1,0,0,0,0,0,0
konsolidierung_mit_rekopplung,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,EXT_EXPANSION_2023,1t5bcxp->183drjy,4,503-517,ruhige_konsolidierung,rekopplungs_uebergang,-0.089767,0.897666,0.269784,1.705566,0.05399,0.020894,1,0,0,0,0,0,0
getragene_expansion,Expansion bleibt ueber das Fenster getragen.,EXT_EXPANSION_2023,02xikfk->1t5bcxp,3,394-660,expansion_getragen,offene_uebergangszone,5.183199,10.455764,12.349398,0.254669,0.024754,0.010769,1,0,0,0,0,0,0
gerichtete_bewegung_mit_bruch,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",EXT_EXPANSION_2023,1t5bcxp->02xikfk,3,396-655,gerichtete_uebergangsbewegung,bewegungsbruch_zone,5.903399,10.375671,12.012012,-0.759494,0.050122,0.014597,1,0,0,0,0,0,0
konsolidierung_unter_druck,Seitwaerts-/Ruhefenster traegt innere Druckspannung.,NEG_STRESS_2023,183drjy->1t5bcxp,2,802-816,ruhige_konsolidierung,druck_uebergang,-0.683761,0.769231,0.3861,-0.516351,0.072906,0.025184,1,0,0,0,0,0,0
konsolidierung_mit_rekopplung,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,NEG_STRESS_2023,1t5bcxp->183drjy,2,771-815,ruhige_konsolidierung,rekopplungs_uebergang,0.128921,0.816502,0.085985,-0.858001,0.041473,0.016539,1,0,0,0,0,0,0
abverkauf_mit_rekopplung,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",NEG_STRESS_2024,02xikfk->1t5bcxp,5,700-977,abverkauf_getragen,rekopplungs_uebergang,-4.359002,4.985541,0.263073,-0.87346,0.070313,0.018908,1,0,0,0,0,0,0
abverkauf_mit_bruch,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,NEG_STRESS_2024,1t5bcxp->02xikfk,3,760-975,abverkauf_getragen,bewegungsbruch_zone,-2.435145,3.987276,-1.389941,-0.477823,0.081516,0.020171,1,0,0,0,0,0,0
gerichtete_bewegung_mit_bruch,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",POS_EXPANSION_2023,02xikfk->1t5bcxp,6,228-356,gerichtete_uebergangsbewegung,bewegungsbruch_zone,1.603814,3.164283,1.140351,1.023891,0.074446,0.019902,1,0,0,0,0,0,0
konsolidierung_mit_bruchnaehe,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,POS_EXPANSION_2023,1t5bcxp->02xikfk,5,235-355,konsolidierung_mit_spannung,bewegungsbruch_zone,0.299401,2.010265,1.080847,1.023454,0.036181,0.011746,1,0,0,0,0,0,0
gerichtete_bewegung_mit_rekopplung,Richtung laeuft und koppelt im Feld wieder an.,POS_EXPANSION_2023,183drjy->1t5bcxp,3,572-653,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.511226,2.115717,-0.429738,-0.340136,0.10574,0.025239,1,0,0,0,0,0,0
gerichtete_bewegung_mit_rekopplung,Richtung laeuft und koppelt im Feld wieder an.,POS_EXPANSION_2023,1t5bcxp->183drjy,3,571-651,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.036717,1.382289,-0.643777,0.34188,0.090003,0.022843,1,0,0,0,0,0,0
konsolidierung_mit_rekopplung,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,SIDEWAYS_2024,02xikfk->1t5bcxp,3,608-665,konsolidierung_mit_spannung,rekopplungs_uebergang,0.01536,2.979802,0.369999,1.174754,0.018927,0.007954,1,0,0,0,0,0,0
konsolidierung_unter_druck,Seitwaerts-/Ruhefenster traegt innere Druckspannung.,SIDEWAYS_2024,183drjy->1t5bcxp,2,920-934,ruhige_konsolidierung,druck_uebergang,-0.8221,1.096134,-0.354244,-0.19416,0.040909,0.025331,1,0,0,0,0,0,0
konsolidierung_mit_rekopplung,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,SIDEWAYS_2024,1t5bcxp->183drjy,2,917-927,ruhige_konsolidierung,rekopplungs_uebergang,-0.645209,0.889944,-0.662983,-0.403075,0.021714,0.005346,1,0,0,0,0,0,0
