token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0ykar6i,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,1351,3830,2479,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0.002609,-0.001158,0.002271,0.000423,0.004443,-0.018064
dio_mcm_episode_0ybr5e3,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,1537,3868,2331,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1eju9g0,dio_mcm_episode_1xx3u1e,0.000508,0.000654,-0.002763,0.003013,0.003195,0.017089
dio_mcm_episode_0b7nep9,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,3050,4573,1523,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,-0.002208,0.001233,-0.003331,0.005192,0.012159,-0.002937
dio_mcm_episode_1xx3u1e,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,2964,1854,-1110,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ybr5e3,dio_mcm_episode_077r0df,-0.000328,0.002361,-0.001843,0.009957,0.020179,0.005418
dio_mcm_episode_18l3thm,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,598,183,-415,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.003947,-0.004589,0.005892,-0.009204,-0.020042,-0.007511
dio_mcm_episode_14coypf,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,1584,1234,-350,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14l8khu,dio_mcm_episode_15cyz2v,0.004193,-0.002197,0.009562,0.005638,0.0153,-0.032836
dio_mcm_episode_1eju9g0,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,327,90,-237,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0ybr5e3,0.005841,0.006317,0.003352,0.023631,0.051225,-0.010835
dio_mcm_episode_1jwnjz4,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,471,514,43,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.007976,-0.002824,0.007199,0.000806,0.006043,-0.017192
dio_mcm_episode_03hr8bf,junge_spur,driftzone,oeffnung_oder_drift,1,28,27,1,1,0,offene_variante,offene_variante,dio_mcm_episode_09rbps0,dio_mcm_episode_0o36jeo,0.048909,-0.05269,0.090266,-0.022516,-0.045707,-0.172063
dio_mcm_episode_17c7qwp,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,32,50,18,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1eju9g0,dio_mcm_episode_00nzcuc,0.005145,0.004661,-0.003833,0.019069,0.030746,0.054328
dio_mcm_episode_0hjnwsk,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,16,5,-11,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18n06fj,dio_mcm_episode_18n06fj,0.006764,-0.00313,0.014358,0.015714,0.04418,-0.010135
dio_mcm_episode_0w4721p,rekopplungszone,offene_bedeutungszone,oeffnung_oder_drift,13,3,-10,5,1,-4,zentrum_stabil,zentrum_stabil,dio_mcm_episode_19w1n2u,dio_mcm_episode_1aq0g5r,-0.009899,-0.000953,-0.007922,-0.006935,-0.022273,0.006119
dio_mcm_episode_17rahh6,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,8,18,10,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17c7qwp,dio_mcm_episode_17c7qwp,0.009612,0.001012,0.011586,0.014561,0.035615,-0.035223
dio_mcm_episode_0w96mqy,rekopplungszone,junge_spur,verjuengung_oberflaeche,10,1,-9,3,1,-2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0bvwbpb,dio_mcm_episode_1ej5zl7,-0.008906,-0.002845,-0.009374,0.017289,0.037423,0.021014
dio_mcm_episode_18n06fj,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,18,9,-9,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0mji3u6,dio_mcm_episode_0mji3u6,-0.00991,0.005015,0.001158,0.013653,0.04322,-0.021684
dio_mcm_episode_0krixak,stabile_bedeutungsinsel,junge_spur,verjuengung_oberflaeche,8,1,-7,4,1,-3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0w4721p,dio_mcm_episode_0w4721p,-0.017642,0.016778,-0.004891,0.003961,0.002622,0.01863
dio_mcm_episode_0om13wf,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,8,1,-7,2,1,-1,offene_variante,offene_variante,dio_mcm_episode_0ultars,dio_mcm_episode_0ultars,0.034125,-0.023326,0.016978,0.031087,0.069684,-0.097403
dio_mcm_episode_0jatqr8,rekopplungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,11,5,-6,3,2,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xm3b1l,dio_mcm_episode_1xm3b1l,-0.017363,0.009522,-0.017987,0.037723,0.09776,-0.010094
dio_mcm_episode_1n2f96o,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,7,6,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xm3b1l,dio_mcm_episode_02ujuqf,-0.002883,-0.00769,0.001536,0.005767,0.004533,0.007703
dio_mcm_episode_0l3i7ey,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,6,1,-5,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0lne9ax,dio_mcm_episode_0apubpm,0.038824,-0.049927,0.079161,-0.042493,-0.096738,-0.220094
dio_mcm_episode_0qzjuvj,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,11,6,-5,2,2,0,offene_variante,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0z748ck,0.050405,-0.051424,0.079249,-0.054052,-0.118619,-0.118619
dio_mcm_episode_00i7zy5,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,5,4,1,4,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0393v08,dio_mcm_episode_0393v08,0.004624,-0.009215,0.00321,-0.023555,-0.055833,0.073078
dio_mcm_episode_028a6an,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,5,4,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_077r0df,dio_mcm_episode_0bntidq,-0.004876,-0.002827,0.02691,0.024534,0.048084,-0.13662
dio_mcm_episode_06ccuqv,junge_spur,stabile_bedeutungsinsel,reifung_oder_verdichtung,1,5,4,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1al8fjz,dio_mcm_episode_0u69u6w,0.018614,-0.028318,0.030604,-0.059371,-0.130968,0.078273
dio_mcm_episode_0lne9ax,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,3,7,4,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0jbl5pq,-0.02298,0.031225,-0.04551,0.021628,0.051803,0.079672
dio_mcm_episode_1y2gc2i,driftzone,stabile_bedeutungsinsel,reifung_oder_verdichtung,4,8,4,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1y26981,dio_mcm_episode_1do29ul,-0.001425,0.001659,-0.025101,-0.023912,-0.057322,0.030101
dio_mcm_episode_0393v08,offene_bedeutungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,2,5,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0dsrwv5,dio_mcm_episode_0dsrwv5,-0.004949,0.007798,-0.008339,0.013593,0.035776,-0.004138
dio_mcm_episode_0dsrwv5,junge_spur,driftzone,oeffnung_oder_drift,1,4,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_102i30n,dio_mcm_episode_1k0rrn2,-0.006241,0.007974,-0.017866,0.005283,-0.012796,0.097287
dio_mcm_episode_0ldht3x,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,4,1,-3,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0l3i7ey,dio_mcm_episode_0l3i7ey,0.012367,0.000129,0.001822,-0.001907,0.001706,-0.062382
dio_mcm_episode_0t1ymth,offene_bedeutungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,3,6,3,1,2,1,zentrum_stabil,offene_variante,dio_mcm_episode_0db07p4,dio_mcm_episode_0db07p4,-0.027338,0.038241,-0.059241,0.055853,0.12791,0.097951
dio_mcm_episode_1bnkysm,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,4,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1b3r4if,dio_mcm_episode_0c3787x,0.042696,-0.049313,0.063805,-0.137682,-0.28576,-0.096581
dio_mcm_episode_1chjrvj,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,4,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1bnkysm,dio_mcm_episode_0a5a0d4,-0.021694,-0.03124,0.013535,-0.014023,-0.01017,-0.087259
dio_mcm_episode_1ig1vs0,junge_spur,driftzone,oeffnung_oder_drift,1,4,3,1,3,2,offene_variante,zentrum_stabil,dio_mcm_episode_0oc1i7g,dio_mcm_episode_00oqshz,0.020887,-0.051849,0.099955,-0.027216,-0.053623,-0.224273
dio_mcm_episode_00yl137,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,2,1,spannungsrand_kippnaehe,zentrum_stabil,dio_mcm_episode_0tv1tha,dio_mcm_episode_0ultars,0.131146,-0.166687,0.203259,-0.226393,-0.58091,-0.120918
dio_mcm_episode_02ujuqf,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,6,8,2,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xx3u1e,dio_mcm_episode_1xx3u1e,-9.4e-05,-0.017847,0.022854,-0.016442,-0.036714,-0.073622
