label,phase,ticks,top_family,stable,tragend_unruhig,avg_carry,avg_rekopplung,avg_strain
MELODY_ORDERED,rest,394,dio_1fll:340,394,0,0.608053,0.756037,0.118890
MELODY_ORDERED,wave_up,200,dio_1fll:85,200,0,0.573636,0.739579,0.117762
MELODY_ORDERED,block,200,dio_0jt7:57,175,25,0.563738,0.728231,0.122023
MELODY_ORDERED,wave_down,200,dio_1fll:84,199,1,0.588390,0.744915,0.120256
MELODY_ORDERED,regular,200,dio_0ein:79,191,9,0.560350,0.715157,0.148017
MELODY_BROKEN,regular,200,dio_0ein:78,191,9,0.552752,0.713235,0.147058
MELODY_BROKEN,wave_down,200,dio_1fll:84,200,0,0.574536,0.740237,0.116663
MELODY_BROKEN,rest,200,dio_1fll:175,200,0,0.611976,0.757239,0.119550
MELODY_BROKEN,block,200,dio_0jt7:56,175,25,0.570337,0.730625,0.123373
MELODY_BROKEN,wave_up,200,dio_1fll:79,200,0,0.585510,0.744303,0.118076
MELODY_BROKEN,irregular,194,dio_0ein:48,174,20,0.567630,0.723492,0.135644
