preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,4805,1,-0.000206,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,0
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,2285,1,0.000649,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,0
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,636,1,0.000122,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A,0
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,551,1,0.000345,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,177,1,0.000335,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1b57ksv,milieurolle,milieurolle,97,1,-0.000147,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,89,1,-0.002961,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,81,1,0.000697,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,69,1,0.002172,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,1
dio_mcm_episode_18uls48,new,nebenrolle,61,5,0.508399,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,61,1,0.002088,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,55,1,0.00122,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,1
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,50,1,-0.000269,REAL_FOLLOW_BTC_6000,REAL_FOLLOW_BTC_6000,0
dio_mcm_episode_05upp98,breite_grundrolle,breite_grundrolle,48,1,-0.002734,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
