preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_1rj8742,breite_grundrolle,18553,46,0.72298,REAL_FOLLOW_BTC_6000,0.083383,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;FOLLOW_EQ10K_PAXG_2024_5M:858;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645,quiet:3766;btc:3646;paxg:2795;xrp:2004;doge:1746;shift:1478;other:1192;sol:993;stress:933,0.941436,0.548129,0.158329,0.0,0.202986,0.050288,0.079664,0.129952,0.202986,0.944976
dio_mcm_episode_0icnf2v,breite_grundrolle,96987,45,0.828129,REAL_TIME_2023_SOL_ALTSEQ_A,0.070865,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261,sol:21480;btc:16165;xrp:14825;doge:13691;quiet:11832;paxg:11178;stress:4643;other:3067;shift:106,0.918218,0.340958,0.172749,0.0,0.121996,0.047872,0.001093,0.048965,0.221473,0.893767
dio_mcm_episode_1qlxgj7,breite_grundrolle,30945,47,0.721546,FOLLOW_EQ10K_PEPE_2024_5M,0.087963,FOLLOW_EQ10K_PEPE_2024_5M:2722;FOLLOW_EQ10K_XLM_2024_5M:2526;FOLLOW_EQ10K_KAS_2024_5M:2466;FOLLOW_EQ10K_XRP_2024_5M:2420;FOLLOW_EQ10K_DOGE_2024_5M:2338;FOLLOW_EQ10K_PEPE_C_2024_5M:2333;FOLLOW_EQ10K_TRX_2024_5M:2285;FOLLOW_EQ10K_PEPE_B_2024_5M:1729;FOLLOW_EQ10K_PAXG_2024_5M:1153;FOLLOW_DOGE_2024_5M_2000:1109,other:14168;xrp:4824;doge:4504;sol:2440;btc:1705;paxg:1304;quiet:1281;shift:470;stress:249,0.837811,0.244138,0.357119,0.0,0.041396,0.008047,0.015188,0.023235,0.457845,0.753498
dio_mcm_episode_0wo0tz1,breite_grundrolle,4726,32,0.671019,BTC_FIELD_QUIET_03,0.093525,BTC_FIELD_QUIET_03:442;BTC_STRESS_2025_5M:419;BTC_STRESS_2024_5M:401;XRP_1H_A:330;FOLLOW_PAXG_2024_5M_2000:327;REAL_TIME_2024_PAXG:327;BTC_10K_A:313;BTC_LONG_2024_5M_QUIET:289;REAL_FOLLOW_DOGE_6000:245;BTC_SHIFT_2025_15M_16000_17000:221,stress:820;quiet:783;paxg:777;btc:692;doge:690;xrp:510;shift:439;other:8;sol:7,0.831846,0.790336,0.124323,0.052895,0.165679,0.173508,0.09289,0.266399,0.173508,0.883964
dio_mcm_episode_12tgchq,breite_grundrolle,61775,32,0.827046,FOLLOW_EQ10K_XLM_2024_5M,0.090506,FOLLOW_EQ10K_XLM_2024_5M:5591;FOLLOW_EQ10K_PEPE_C_2024_5M:5566;FOLLOW_EQ10K_TRX_2024_5M:4805;FOLLOW_EQ10K_DOGE_2024_5M:4715;FOLLOW_EQ10K_KAS_2024_5M:4470;FOLLOW_EQ10K_PEPE_B_2024_5M:4468;FOLLOW_EQ10K_XRP_2024_5M:4040;FOLLOW_EQ10K_PEPE_2024_5M:3926;FOLLOW_EQ10K_PAXG_2024_5M:2812;SOL_10K_A:2722,other:28826;xrp:8936;sol:8685;doge:6978;btc:3255;paxg:3152;quiet:1360;stress:578;shift:5,0.821842,0.20389,0.363971,0.0,0.022015,0.009357,8.1e-05,0.009437,0.466629,0.724959
dio_mcm_episode_0iwh9d2,breite_grundrolle,17304,29,0.83738,REAL_FOLLOW_PAXG_6000,0.163604,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;FOLLOW_EQ10K_PAXG_2024_5M:1844;FOLLOW_EQ10K_PEPE_B_2024_5M:1453;FOLLOW_EQ10K_DOGE_2024_5M:852;FOLLOW_EQ10K_KAS_2024_5M:851;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;FOLLOW_EQ10K_XRP_2024_5M:602,paxg:7315;other:3000;quiet:2616;xrp:2216;btc:1113;doge:979;sol:65,0.82034,0.196795,0.332375,0.009941,0.151179,0.0,0.0,0.0,0.422735,0.810192
dio_mcm_episode_0tfzgic,breite_grundrolle,8137,30,0.690613,REAL_TIME_2024_SOL_ALTSEQ_A,0.221703,REAL_TIME_2024_SOL_ALTSEQ_A:1804;BTC_LONG_2025_5M_QUIET:1320;QUIET_NEAR_BTC_1869:1317;QUIET_NEAR_PAXG2025_1H:723;QUIET_NEAR_PAXG2024_1H:603;BTC_FIELD_QUIET_02:503;DOGE_1H_A:297;BTC_1H_B:290;REAL_TIME_2023_SOL_ALTSEQ_A:226;FOLLOW_KAS_2024_5M_2000:223,quiet:4601;sol:2030;btc:559;other:369;doge:329;paxg:87;shift:69;xrp:63;stress:30,0.679563,0.166649,0.433437,0.021067,0.565442,0.003687,0.00848,0.012167,0.565442,0.577998
dio_mcm_episode_1yxc2ug,breite_grundrolle,2595,30,0.722717,FOLLOW_EQ10K_PEPE_C_2024_5M,0.117148,FOLLOW_EQ10K_PEPE_C_2024_5M:304;FOLLOW_EQ10K_DOGE_2024_5M:294;FOLLOW_EQ10K_XLM_2024_5M:210;FOLLOW_EQ10K_XRP_2024_5M:210;FOLLOW_EQ10K_PEPE_B_2024_5M:198;FOLLOW_EQ10K_TRX_2024_5M:177;FOLLOW_EQ10K_KAS_2024_5M:172;REAL_FOLLOW_XRP_6000:168;FOLLOW_DOGE_2024_5M_2000:126;REAL_FOLLOW_DOGE_6000:115,other:1156;doge:535;xrp:466;sol:254;btc:87;quiet:86;stress:9;paxg:2,0.674557,0.155363,0.298134,0.10172,0.033141,0.003468,0.0,0.003468,0.445472,0.708613
dio_mcm_episode_0nu3wih,breite_grundrolle,2981,22,0.619537,QUIET_NEAR_PAXG2025_1H,0.234485,QUIET_NEAR_PAXG2025_1H:699;FOLLOW_KAS_2024_5M_2000:449;QUIET_NEAR_BTC_FIELD_01:432;SOL_10K_A:406;REAL_TIME_2024_SOL_ALTSEQ_A:219;XRP_1H_A:161;BTC_SHIFT_2025_30M_10000_11000:155;BTC_1H_B:88;BTC_STRESS_2024_5M:67;DOGE_1H_B:64,quiet:1213;sol:649;other:511;xrp:169;shift:155;doge:118;btc:96;stress:70,0.629043,0.293367,0.284089,0.123256,0.40691,0.023482,0.051996,0.075478,0.40691,0.790179
dio_mcm_episode_1eav7xq,breite_grundrolle,902,45,0.710312,FOLLOW_EQ10K_PEPE_B_2024_5M,0.099778,FOLLOW_EQ10K_PEPE_B_2024_5M:90;FOLLOW_EQ10K_TRX_2024_5M:89;FOLLOW_EQ10K_XRP_2024_5M:89;FOLLOW_EQ10K_DOGE_2024_5M:81;FOLLOW_EQ10K_PEPE_C_2024_5M:65;FOLLOW_EQ10K_KAS_2024_5M:63;FOLLOW_EQ10K_XLM_2024_5M:63;FOLLOW_EQ10K_PEPE_2024_5M:31;FOLLOW_EQ10K_PAXG_2024_5M:27;FOLLOW_XRP_2024_5M_2000:24,other:401;xrp:158;doge:128;btc:54;sol:51;quiet:44;paxg:41;shift:14;stress:11,0.620662,0.190353,0.256189,0.169779,0.04878,0.012195,0.015521,0.027716,0.444568,0.764531
dio_mcm_episode_0bsaqu1,breite_grundrolle,847,46,0.702232,FOLLOW_EQ10K_PEPE_B_2024_5M,0.112161,FOLLOW_EQ10K_PEPE_B_2024_5M:95;FOLLOW_EQ10K_TRX_2024_5M:81;FOLLOW_EQ10K_XRP_2024_5M:78;FOLLOW_EQ10K_KAS_2024_5M:67;FOLLOW_EQ10K_XLM_2024_5M:67;FOLLOW_EQ10K_DOGE_2024_5M:65;FOLLOW_EQ10K_PEPE_C_2024_5M:53;FOLLOW_EQ10K_PEPE_2024_5M:29;FOLLOW_EQ10K_PAXG_2024_5M:28;SOL_10K_A:22,other:393;xrp:132;doge:109;sol:54;paxg:48;btc:45;quiet:37;stress:18;shift:11,0.612009,0.199979,0.264909,0.174219,0.043684,0.021251,0.012987,0.034238,0.463991,0.764137
dio_mcm_episode_0vcr3lw,breite_grundrolle,750,44,0.700409,FOLLOW_EQ10K_XRP_2024_5M,0.101333,FOLLOW_EQ10K_XRP_2024_5M:76;FOLLOW_EQ10K_KAS_2024_5M:63;FOLLOW_EQ10K_TRX_2024_5M:61;FOLLOW_EQ10K_PEPE_B_2024_5M:60;FOLLOW_EQ10K_DOGE_2024_5M:59;FOLLOW_EQ10K_XLM_2024_5M:58;FOLLOW_EQ10K_PEPE_C_2024_5M:49;FOLLOW_EQ10K_PEPE_2024_5M:32;FOLLOW_EQ10K_PAXG_2024_5M:29;REAL_TIME_2023_SOL_ALTSEQ_A:18,other:323;xrp:121;doge:106;paxg:56;sol:51;quiet:37;btc:34;stress:13;shift:9,0.610849,0.191449,0.241448,0.182803,0.049333,0.017333,0.012,0.029333,0.430667,0.783835
