preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_00svqqo,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_010cqn6,nebenrolle,nebenrolle,85,1,0.008996,FOLLOW_EQ10K_PEPE_C_2024_5M,FOLLOW_EQ10K_PEPE_B_2024_5M,1
dio_mcm_episode_01116gq,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_019p01g,nebenrolle,nebenrolle,2,1,-0.000263,FOLLOW_EQ10K_PEPE_C_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,1
dio_mcm_episode_01esod4,nebenrolle,nebenrolle,1,1,0.00519,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_01h2hhh,nebenrolle,nebenrolle,2,1,0.002511,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_01jolqf,nebenrolle,nebenrolle,1,1,6.4e-05,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_01tuifc,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_01u58q5,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_XRP_2024_5M_2000,FOLLOW_XRP_2024_5M_2000,0
dio_mcm_episode_01x8qw1,nebenrolle,nebenrolle,3,1,0.013422,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_023ecmg,nebenrolle,nebenrolle,1,1,0.000799,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_023u44b,nebenrolle,nebenrolle,1,1,-0.001338,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_02ixe4y,nebenrolle,nebenrolle,5,1,0.004022,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
