token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0ko7wqc,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1789,25,-1764,2,2,0,zentrum_stabil,zentrum_stabil,-0.010661,0.003042,-0.008403,-0.024107
dio_mcm_episode_0ybr5e3,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1537,18,-1519,1,1,0,zentrum_stabil,zentrum_stabil,-0.010013,-0.000191,-0.001918,0.041272
dio_mcm_episode_1jx2k4i,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,338,1213,875,2,5,3,zentrum_stabil,zentrum_stabil,0.005257,-0.000308,-0.015284,0.017661
dio_mcm_episode_1q3us3f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1093,1627,534,3,3,0,zentrum_stabil,zentrum_stabil,-0.008268,0.006981,0.02796,0.050518
dio_mcm_episode_1t42af6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,437,7,-430,2,1,-1,zentrum_stabil,zentrum_stabil,-0.018673,0.007764,0.059466,-0.005819
dio_mcm_episode_17rahh6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,8,283,275,1,1,0,zentrum_stabil,zentrum_stabil,-0.001994,0.005313,0.028031,0.020499
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,565,364,-201,4,4,0,zentrum_stabil,zentrum_stabil,0.002257,-0.002161,-0.027918,0.01704
dio_mcm_episode_1hdpu9s,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,390,224,-166,1,2,1,zentrum_stabil,zentrum_stabil,-0.001559,0.007826,0.062441,0.027811
dio_mcm_episode_0dgle71,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,115,18,-97,1,1,0,zentrum_stabil,zentrum_stabil,0.00248,-0.015765,-0.064608,-0.037327
dio_mcm_episode_17i4j9o,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,30,5,-25,2,2,0,zentrum_stabil,zentrum_stabil,-0.017525,0.022163,0.059667,0.074003
