pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,57,4,0.553398,-0.000954,0.005006
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,10,3,0.097087,-0.070997,0.022896
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->rekoppelnde_lage,10,3,0.097087,-0.022603,0.011765
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->offene_lage,6,4,0.058252,0.059014,-0.020006
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->druck_lage,5,2,0.048544,0.178972,-0.058035
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->offene_lage,3,1,0.029126,-0.005636,-0.002310
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,2,2,0.019417,0.107187,-0.040779
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,gehaltene_form->rekoppelnde_lage->druck_lage,1,1,0.009709,0.232684,-0.086432
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,gehaltene_form->offene_lage->rekoppelnde_lage,1,1,0.009709,-0.060278,0.034585
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->offene_lage,1,1,0.009709,-0.037551,-0.003470
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->offene_lage,1,1,0.009709,-0.076028,0.012250
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,gehaltene_form->rekoppelnde_lage->rekoppelnde_lage,1,1,0.009709,-0.077513,-0.012641
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->gehaltene_form,1,1,0.009709,-0.048655,0.020197
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->druck_lage,1,1,0.009709,0.119439,-0.027624
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->gehaltene_form->rekoppelnde_lage,1,1,0.009709,-0.060126,0.010400
