token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,358,240,-118,2,3,1,zentrum_stabil,zentrum_stabil,-0.00552,-0.001136,-0.00736,-0.011113
dio_mcm_episode_1jx2k4i,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,67,113,46,3,2,-1,zentrum_stabil,zentrum_stabil,-0.00585,0.005239,0.022107,0.020556
dio_mcm_episode_0db07p4,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,98,64,-34,2,1,-1,zentrum_stabil,zentrum_stabil,0.00081,-0.003791,-0.041328,0.031962
dio_mcm_episode_1rylps5,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,10,37,27,1,3,2,zentrum_stabil,zentrum_stabil,0.008502,-0.01504,-0.061894,-0.000913
dio_mcm_episode_0ko7wqc,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,4,18,14,1,1,0,zentrum_stabil,zentrum_stabil,-0.01389,0.015485,0.061637,0.074816
dio_mcm_episode_0e7qvj1,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,5462,21034,15572,4,4,0,zentrum_stabil,zentrum_stabil,0.008873,-0.002159,-0.002125,-0.005996
dio_mcm_episode_1hdpu9s,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,524,4345,3821,4,4,0,zentrum_stabil,zentrum_stabil,0.008496,-0.001213,0.004068,-0.003938
dio_mcm_episode_1rxdw4p,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,215,2666,2451,3,4,1,zentrum_stabil,zentrum_stabil,0.010834,-0.003177,-0.021365,0.006657
dio_mcm_episode_1q3us3f,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,228,841,613,3,4,1,zentrum_stabil,zentrum_stabil,-0.001696,0.001952,-0.001549,0.008858
dio_mcm_episode_1hs3jsa,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,19,276,257,1,4,3,zentrum_stabil,zentrum_stabil,0.001442,0.000208,-0.021798,-0.006917
dio_mcm_episode_0lfde2c,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,16,129,113,1,3,2,zentrum_stabil,zentrum_stabil,0.017163,-0.012012,-0.075891,0.032157
dio_mcm_episode_0qzjuvj,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,40,94,54,4,4,0,zentrum_stabil,zentrum_stabil,0.001038,0.00243,-0.002119,0.020378
dio_mcm_episode_0z748ck,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,44,93,49,4,4,0,zentrum_stabil,zentrum_stabil,0.007034,0.000184,0.017345,-0.013097
dio_mcm_episode_0lne9ax,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,18,59,41,4,4,0,zentrum_stabil,zentrum_stabil,0.006602,0.008709,0.052231,-0.031077
