token,path_class,reason,movement,base_zone,follow_zone,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_role,follow_role,rekopplung_delta,strain_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0ko7wqc,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1789,97,-1692,2,1,-1,zentrum_stabil,zentrum_stabil,-0.01856,0.00261,-0.004016,-0.003362
dio_mcm_episode_0dgle71,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,115,1336,1221,1,1,0,zentrum_stabil,zentrum_stabil,0.009633,-0.00637,-0.003695,-0.02657
dio_mcm_episode_1q3us3f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1093,93,-1000,3,3,0,zentrum_stabil,zentrum_stabil,-0.013463,0.007594,0.045214,0.033792
dio_mcm_episode_1jx2k4i,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,338,1032,694,2,5,3,zentrum_stabil,zentrum_stabil,0.002761,8.5e-05,-0.015564,0.019736
dio_mcm_episode_1t42af6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,437,41,-396,2,2,0,zentrum_stabil,zentrum_stabil,-0.024169,0.01535,0.062938,-0.008349
dio_mcm_episode_1ahj81f,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,565,928,363,4,6,2,zentrum_stabil,zentrum_stabil,0.001105,-0.001282,-0.012196,0.011048
dio_mcm_episode_0w4x7xs,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,48,403,355,1,1,0,zentrum_stabil,zentrum_stabil,-0.00406,0.004073,0.016353,0.016773
dio_mcm_episode_1hdpu9s,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,390,79,-311,1,2,1,zentrum_stabil,zentrum_stabil,-0.004759,0.00185,0.045708,-0.005206
dio_mcm_episode_0db07p4,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,37,132,95,1,3,2,zentrum_stabil,zentrum_stabil,-0.003679,0.004721,-0.013041,0.047996
dio_mcm_episode_01s42m6,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,94,6,-88,1,1,0,zentrum_stabil,zentrum_stabil,0.010608,-0.012116,-0.047245,-0.011812
dio_mcm_episode_17i4j9o,stabile_insel,Zone bleibt stabile Bedeutungsinsel.,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,30,18,-12,2,2,0,zentrum_stabil,zentrum_stabil,0.006783,-0.004864,-0.001568,-0.0456
dio_mcm_episode_0ybr5e3,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,1537,3868,2331,1,1,0,zentrum_stabil,zentrum_stabil,0.000508,0.000654,0.003195,0.017089
dio_mcm_episode_077r0df,rekoppelnder_pfad,Zone bleibt Rekopplungszone.,stabil,rekopplungszone,rekopplungszone,70,554,484,2,3,1,zentrum_stabil,zentrum_stabil,-0.011872,0.018467,0.08973,0.110197
dio_mcm_episode_1eju9g0,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,327,90,-237,1,1,0,zentrum_stabil,zentrum_stabil,0.005841,0.006317,0.051225,-0.010835
dio_mcm_episode_1jwnjz4,rekoppelnder_pfad,Token verschiebt sich in stabilere oder rekoppelnde Zone.,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,471,514,43,2,2,0,zentrum_stabil,zentrum_stabil,0.007976,-0.002824,0.006043,-0.017192
