timestamp_ms,symbol,timeframe,open,high,low,close,volume,melody_phase
1704067200000,SYN_MELODY,5m,100.0,100.39918915,99.79663425,100.11673672,325857.8523,edge_start_break
1704067500000,SYN_MELODY,5m,100.11673672,100.32205017,99.8995669,100.04739259,309624.2802,edge_start_break
1704067800000,SYN_MELODY,5m,100.04739259,100.36262299,99.8803135,100.13056871,314860.7953,edge_start_break
1704068100000,SYN_MELODY,5m,100.13056871,100.41798691,99.80981591,100.01675702,325923.2622,edge_start_break
1704068400000,SYN_MELODY,5m,100.01675702,100.22800025,99.89514944,100.05910083,301333.1908,edge_start_break
1704068700000,SYN_MELODY,5m,100.05910083,100.20943967,99.92117606,100.02942002,297266.4685,edge_start_break
1704069000000,SYN_MELODY,5m,100.02942002,100.50562032,99.78618755,100.16779744,335664.6369,edge_start_break
1704069300000,SYN_MELODY,5m,100.16779744,100.49314096,99.80406993,100.03831726,332843.6243,edge_start_break
1704069600000,SYN_MELODY,5m,100.03831726,100.27944993,99.90038185,100.08787297,305285.0215,edge_start_break
1704069900000,SYN_MELODY,5m,100.08787297,100.33139847,99.83360202,100.00894039,315884.8149,edge_start_break
1704070200000,SYN_MELODY,5m,100.00894039,100.3702476,99.8155756,100.1016854,321064.6619,edge_start_break
1704070500000,SYN_MELODY,5m,100.1016854,100.29510527,99.91471134,100.05397365,305600.6231,edge_start_break
1704070800000,SYN_MELODY,5m,100.05397365,100.21024524,99.95293874,100.06991897,294794.4386,edge_start_break
1704071100000,SYN_MELODY,5m,100.06991897,100.49916888,99.84496825,100.18673732,330357.9634,edge_start_break
1704071400000,SYN_MELODY,5m,100.18673732,100.41891416,99.95017737,100.1173447,314010.217,edge_start_break
1704071700000,SYN_MELODY,5m,100.1173447,100.4560731,99.93338893,100.20057897,319117.3858,edge_start_break
1704072000000,SYN_MELODY,5m,100.20057897,100.50778117,99.86550213,100.08668771,330035.7819,edge_start_break
1704072300000,SYN_MELODY,5m,100.08668771,100.31368848,99.95375602,100.12906113,305287.4137,edge_start_break
1704072600000,SYN_MELODY,5m,100.12906113,100.29097633,99.98278063,100.09935957,301048.716,edge_start_break
1704072900000,SYN_MELODY,5m,100.09935957,100.58307526,99.85078567,100.23783374,339261.8256,edge_start_break
1704073200000,SYN_MELODY,5m,100.23783374,100.56621707,99.87182703,100.10826303,336243.3106,edge_start_break
1704073500000,SYN_MELODY,5m,100.10826303,100.34796398,99.9713834,100.15785338,308475.4453,edge_start_break
1704073800000,SYN_MELODY,5m,100.15785338,100.3955566,99.90771929,100.07886561,318854.9398,edge_start_break
1704074100000,SYN_MELODY,5m,100.07886561,100.43012347,99.89278305,100.17167547,323804.2135,edge_start_break
1704074400000,SYN_MELODY,5m,100.17167547,100.35072809,99.99501248,100.12393036,308100.1249,edge_start_break
1704074700000,SYN_MELODY,5m,100.12393036,100.26180543,100.03614898,100.13988684,297045.2442,edge_start_break
1704075000000,SYN_MELODY,5m,100.13988684,100.54714557,99.93082856,100.25678686,332352.2868,edge_start_break
1704075300000,SYN_MELODY,5m,100.25678686,100.46329696,100.03865844,100.18734572,315741.1594,edge_start_break
1704075600000,SYN_MELODY,5m,100.18734572,100.49730878,100.02414289,100.27063819,320578.9595,edge_start_break
1704075900000,SYN_MELODY,5m,100.27063819,100.55103886,99.95477882,100.1566673,331222.9311,edge_start_break
1704076200000,SYN_MELODY,5m,100.1566673,100.36101312,100.0400685,100.19907034,306196.0317,edge_start_break
1704076500000,SYN_MELODY,5m,100.19907034,100.34273064,100.0659126,100.16934801,301675.6598,edge_start_break
1704076800000,SYN_MELODY,5m,100.16934801,100.6397196,99.93045159,100.30791901,339604.9264,edge_start_break
1704077100000,SYN_MELODY,5m,100.30791901,100.62768649,99.94802511,100.1782577,336301.3815,edge_start_break
1704077400000,SYN_MELODY,5m,100.1782577,100.41425071,100.04407275,100.22788272,308248.2855,edge_start_break
1704077700000,SYN_MELODY,5m,100.22788272,100.46688344,99.97675921,100.14883973,318343.3351,edge_start_break
1704078000000,SYN_MELODY,5m,100.14883973,100.50646445,99.95821975,100.24171448,323009.9337,edge_start_break
1704078300000,SYN_MELODY,5m,100.24171448,100.43193915,100.05697423,100.19393599,307025.9175,edge_start_break
1704078600000,SYN_MELODY,5m,100.19393599,100.34773045,100.09470067,100.20990362,295694.825,edge_start_break
1704078900000,SYN_MELODY,5m,100.20990362,100.63785961,99.98600217,100.32688537,330730.3274,edge_start_break
