timestamp_ms,symbol,timeframe,open,high,low,close,volume
1705867200000,SYN_RAND_RECOUP,5m,8.30588514,8.31197923,8.29082001,8.30133769,216501.4106
1705867500000,SYN_RAND_RECOUP,5m,8.30133769,8.30748497,8.28645264,8.29690804,209520.5854
1705867800000,SYN_RAND_RECOUP,5m,8.29690804,8.30311939,8.28222135,8.29260382,201268.9499
1705868100000,SYN_RAND_RECOUP,5m,8.29260382,8.29888976,8.27813123,8.2884305,191940.5516
1705868400000,SYN_RAND_RECOUP,5m,8.2884305,8.29480116,8.27418504,8.28439124,181755.2218
1705868700000,SYN_RAND_RECOUP,5m,8.28439124,8.2908563,8.2703831,8.28048682,170953.2974
1705869000000,SYN_RAND_RECOUP,5m,8.28048682,8.28705545,8.26672329,8.27671564,159789.8509
1705869300000,SYN_RAND_RECOUP,5m,8.27671564,8.28339647,8.26320113,8.27307374,162768.3562
1705869600000,SYN_RAND_RECOUP,5m,8.27307374,8.2798748,8.25980981,8.26955489,173486.006
1705869900000,SYN_RAND_RECOUP,5m,8.26955489,8.2764836,8.25654034,8.26615075,183768.0639
1705870200000,SYN_RAND_RECOUP,5m,8.26615075,8.27321384,8.25338181,8.26285102,193363.1015
1705870500000,SYN_RAND_RECOUP,5m,8.26285102,8.27005454,8.25032156,8.25964374,202036.1196
1705870800000,SYN_RAND_RECOUP,5m,8.25964374,8.26699299,8.24734548,8.25651552,209574.1906
1705871100000,SYN_RAND_RECOUP,5m,8.25651552,8.26401504,8.24443835,8.25345186,215791.5722
1705871400000,SYN_RAND_RECOUP,5m,8.25345186,8.26110541,8.24158417,8.25043753,220534.1669
1705871700000,SYN_RAND_RECOUP,5m,8.25043753,8.25824805,8.23876651,8.24745687,223683.2228
1705872000000,SYN_RAND_RECOUP,5m,8.24745687,8.2554265,8.23596895,8.24449424,225158.1852
1705872300000,SYN_RAND_RECOUP,5m,8.24449424,8.25262428,8.23317538,8.24153433,224918.6315
1705872600000,SYN_RAND_RECOUP,5m,8.24153433,8.24982524,8.23037044,8.23856259,222965.2421
1705872900000,SYN_RAND_RECOUP,5m,8.23856259,8.247014,8.22753985,8.23556557,219339.7849
1705873200000,SYN_RAND_RECOUP,5m,8.23556557,8.24417625,8.22467077,8.23253122,214124.1127
1705873500000,SYN_RAND_RECOUP,5m,8.23253122,8.24129913,8.22175211,8.22944926,207438.1985
